Author,Rank,Religious Affiliation of Author,Title of Great Novel,Year
Miguel de Cervantes,1,Catholic,Don Quixote,"1605, 1630"
Leo Tolstoy,2,Russian Orthodox,War and Peace,1869
James Joyce,3,Catholic (lapsed),Ulysses,1922
Marcel Proust,4,Jewish Catholic,In Search of Lost Time,1913-27
Feodor Dostoevsky,5,Russian Orthodox,The Brothers Karamazov,1880
Herman Melville,6,Transcendentalist,Moby-Dick,1851
Gustave Flaubert,7,Catholic,Madame Bovary,1857
George Eliot,8,Anglican; agnostic,Middlemarch,1871-72
Thomas Mann,9,Lutheran,The Magic Mountain,1924
Murasaki Shikibu,10,Buddhist/Shinto culture,The Tale of Genji,11th Century
Jane Austen,11,Anglican,Emma,1816
Charles Dickens,12,Anglican,Bleak House,1852-53
Leo Tolstoy,13,Russian Orthodox,Anna Karenina,1877
Mark Twain,14,Presbyterian,Adventures of Huckleberry Finn,1884
Henry Fielding,15,,Tom Jones,1749
Charles Dickens,16,Anglican,Great Expectations,1860-61
William Faulkner,17,Presbyterian,"Absalom, Absalom!",1936
Henry James,18,Anglican,The Ambassadors,1903
Gabriel Garcia Marquez,19,Catholic,One Hundred Years of Solitude,1967
F. Scott Fitzgerald,20,Catholic,The Great Gatsby,1925
Virginia Woolf,21,Neo-pagan,To The Lighthouse,1927
Feodor Dostoevsky,22,Russian Orthodox,Crime and Punishment,1866
William Faulkner,23,Presbyterian,The Sound and the Fury,1929
William Makepeace Thackeray,24,,Vanity Fair,1847-48
Ralph Ellison,25,,Invisible Man,1952
James Joyce,26,Catholic (lapsed),Finnegans Wake,1939
Robert Musil,27,Catholic,The Man Without Qualities,1930-43
Thomas Pynchon,28,Catholic; agnostic,Gravity's Rainbow,1973
Henry James,29,Anglican,The Portrait of a Lady,1881
D. H. Lawrence,30,,Women in Love,1920
Stendhal,31,Catholic,The Red and the Black,1830
Laurence Sterne,32,Anglican (Church of Ireland clergyman),Tristram Shandy,1760-67
Nikolai Gogol,33,Russian Orthodox,Dead Souls,1842
Thomas Hardy,34,,Tess of the D'Urbervilles,1891
Thomas Mann,35,Lutheran,Buddenbrooks,1901
Honore de Balzac,36,Catholic,Le Pere Goriot,1835
James Joyce,37,Catholic (lapsed),A Portrait of the Artist as a Young Man,1916
Emily Bronte,38,Anglican,Wuthering Heights,1847
Gunter Grass,39,Catholic,The Tin Drum,1959
Samuel Beckett,40,Church of Ireland (Anglican),Molloy; Malone Dies; The Unnamable,1951-53
Jane Austen,41,Anglican,Pride and Prejudice,1813
Nathaniel Hawthorne,42,Transcendentalist,The Scarlet Letter,1850
Ivan Turgenev,43,Russian Orthodox; agnostic,Fathers and Sons,1862
Joseph Conrad,44,Catholic; atheist,Nostromo,1904
Toni Morrison,45,,Beloved,1987
Theodore Dreiser,46,Catholic; Congregationalist; Chrisitan Science,An American Tragedy,1925
Vladimir Nabokov,47,Russian Orthodox,Lolita,1955
Doris Lessing,48,,The Golden Notebook,1962
Samuel Richardson,49,,Clarissa,1747-48
Cao Xueqin,50,,Dream of the Red Chamber,1791
Franz Kafka,51,Jewish,The Trial,1925
Charlotte Bronte,52,Anglican,Jane Eyre,1847
Stephen Crane,53,Methodist,The Red Badge of Courage,1895
John Steinbeck,54,Episcopalian,The Grapes of Wrath,1939
Andrey Bely,55,Russian Orthodox; Theosophy; Spiritualism,Petersburg,1916/1922
Chinue Achebe,56,,Things Fall Apart,1958
Madame de Lafayette,57,,The Princess of Cleves,1678
Albert Camus,58,Catholic; Existentialism,The Stranger,1942
Willa Cather,59,Episcopalian,My Antonia,1918
Andre Gide,60,,The Counterfeiters,1926
Edith Wharton,61,,The Age of Innocence,1920
Ford Madox Ford,62,Catholic; agnostic,The Good Soldier,1915
Kate Chopin,63,Catholic,The Awakening,1899
E. M. Forster,64,,A Passage to India,1924
Saul Bellow,65,Orthodox Jew (lapsed); Anthroposophist,Herzog,1964
Emile Zola,66,Catholic,Germinal,1855
Henry Roth,67,Jewish,Call It Sleep,1934
John Dos Passos,68,Catholic,U.S.A. Trilogy,1930-38
Knut Hamsun,69,,Hunger,1890
Alfred Doblin,70,Catholic,Berlin Alexanderplatz,1929
'Abd al-Rahman Munif,71,,Cities of Salt,1984-89
Carlos Fuentes,72,Catholic,The Death of Artemio Cruz,1962
Ernest Hemingway,73,Catholic,A Farewell to Arms,1929
Evelyn Waugh,74,Catholic,Brideshead Revisited,1945
Anthony Trollope,75,Anglican,The Last Chronicle of Barset,1866-67
Charles Dickens,76,Anglican,The Pickwick Papers,1836-67
Daniel Defoe,77,Protestant Dissenter (Presbyterian),Robinson Crusoe,1719
Johann Wolfgang von Goethe,78,Deist,The Sorrows of Young Werther,1774
Voltaire,79,raised in Jansenism; later Deist,Candide,1759
