Capital,Date,Government,Languages,Name,Previous Names
Buenos Aires,1816,Federal Republic,Spanish Italian German,Argentina,
La Paz,1825,Republic,Spanish Aymara Quechua Guarani,Bolivia,Alto-Peru
,,Colony (Norway),,Bouvet Island,
Brasilia,1822,Federal Republic,Portuguese Tupi Arawak Guarani,Brazil,
Santiago,1818,Republic,Spanish German Mapuche,Chile,
Bogota,1819,Republic,Spanish Arawak Carib,Colombia,New Granada
Quito,1830,Republic,Spanish Quechua,Ecuador,New Granada
Stanley,,Dependency (UK),English,Falkland Islands,
Cayenne,,Colony (France),French,French Guiana,
Georgetown,,Constitutional Monarchy,English Arawak,Guyana,
Asuncion,1811,Republic,Spanish Guarani,Paraguay,
Lima,1824,Republic,Spanish Quechua,Peru,
Grytviken,,Dependency (UK),,South Georgia,
Paramaribo,,Republic,Dutch Pidgin English,Suriname,
Montevideo,1828,Republic,Spanish,Uruguay,
Caracas,1821,Republic,Spanish,Venezuela,New Grenada
