Country,Date of Information,Population,Rank
World,July 2005 est.,"6,446,131,400",1
China,July 2005 est.,"1,306,313,812",2
India,July 2005 est.,"1,080,264,388",3
European Union,July 2005 est.,"456,953,258",4
United States,July 2005 est.,"295,734,134",5
Indonesia,July 2005 est.,"241,973,879",6
Brazil,July 2005 est.,"186,112,794",7
Pakistan,July 2005 est.,"162,419,946",8
Bangladesh,July 2005 est.,"144,319,628",9
Russia,July 2005 est.,"143,420,309",10
Nigeria,July 2005 est.,"128,765,768",11
Japan,July 2005 est.,"127,417,244",12
Mexico,July 2005 est.,"106,202,903",13
Philippines,July 2005 est.,"87,857,473",14
Vietnam,July 2005 est.,"83,535,576",15
Germany,July 2005 est.,"82,431,390",16
Egypt,July 2005 est.,"77,505,756",17
Ethiopia,July 2005 est.,"73,053,286",18
Turkey,July 2005 est.,"69,660,559",19
Iran,July 2005 est.,"68,017,860",20
Thailand,July 2005 est.,"64,185,502",21
"Congo, Democratic Republic of the",July 2005 est.,"60,764,490",22
France,July 2005 est.,"60,656,178",23
United Kingdom,July 2005 est.,"60,441,457",24
Italy,July 2005 est.,"58,103,033",25
"Korea, South",July 2005 est.,"48,640,671",26
Ukraine,July 2005 est.,"46,996,765",27
Burma,July 2005 est.,"46,996,558",28
South Africa,July 2005 est.,"44,344,136",29
Colombia,July 2005 est.,"42,954,279",30
Spain,July 2005 est.,"40,341,462",31
Sudan,July 2005 est.,"40,187,486",32
Argentina,July 2005 est.,"39,537,943",33
Poland,July 2005 est.,"38,557,984",34
Tanzania,July 2005 est.,"36,766,356",35
Kenya,July 2005 est.,"33,829,590",36
Canada,July 2005 est.,"32,805,041",37
Morocco,July 2005 est.,"32,725,847",38
Algeria,July 2005 est.,"32,531,853",39
Afghanistan,July 2005 est.,"29,928,987",40
Peru,July 2005 est.,"27,925,628",41
Nepal,July 2005 est.,"27,676,547",42
Uganda,July 2005 est.,"27,269,482",43
Uzbekistan,July 2005 est.,"26,851,195",44
Saudi Arabia,July 2005 est.,"26,417,599",45
Iraq,July 2005 est.,"26,074,906",46
Venezuela,July 2005 est.,"25,375,281",47
Malaysia,July 2005 est.,"23,953,136",48
"Korea, North",July 2005 est.,"22,912,177",49
Taiwan,July 2005 est.,"22,894,384",50
Romania,July 2005 est.,"22,329,977",51
Ghana,July 2005 est.,"21,946,247",52
Yemen,July 2005 est.,"20,727,063",53
Australia,July 2005 est.,"20,090,437",54
Sri Lanka,July 2005 est.,"20,064,776",55
Mozambique,July 2005 est.,"19,406,703",56
Syria,July 2005 est.,"18,448,752",57
Madagascar,July 2005 est.,"18,040,341",58
Cote d'Ivoire,July 2005 est.,"17,298,040",59
Cameroon,July 2005 est.,"16,988,132",60
Netherlands,July 2005 est.,"16,407,491",61
Chile,July 2005 est.,"15,980,912",62
Kazakhstan,July 2005 est.,"15,185,844",63
Cambodia,July 2005 est.,"13,636,398",64
Burkina Faso,July 2005 est.,"13,491,736",65
Ecuador,July 2005 est.,"13,363,593",66
Malawi,July 2005 est.,"12,707,464",67
Niger,July 2005 est.,"12,162,856",68
Zimbabwe,July 2005 est.,"12,160,782",69
Guatemala,July 2005 est.,"12,013,907",70
Angola,July 2005 est.,"11,827,315",71
Senegal,July 2005 est.,"11,706,498",72
Mali,July 2005 est.,"11,415,261",73
Cuba,July 2005 est.,"11,346,670",74
Zambia,July 2005 est.,"11,261,795",75
Serbia and Montenegro,July 2005 est.,"10,829,175",76
Greece,July 2005 est.,"10,668,354",77
Portugal,July 2005 est.,"10,566,212",78
Belgium,July 2005 est.,"10,364,388",79
Belarus,July 2005 est.,"10,300,483",80
Czech Republic,July 2005 est.,"10,241,138",81
Tunisia,July 2005 est.,"10,074,951",82
Hungary,July 2005 est.,"10,006,835",83
Chad,July 2005 est.,"9,657,069",84
Guinea,July 2005 est.,"9,452,670",85
Dominican Republic,July 2005 est.,"9,049,595",86
Sweden,July 2005 est.,"9,001,774",87
Bolivia,July 2005 est.,"8,857,870",88
Somalia,July 2005 est.,"8,591,629",89
Rwanda,July 2005 est.,"8,440,820",90
Austria,July 2005 est.,"8,184,691",91
Haiti,July 2005 est.,"8,121,622",92
Azerbaijan,July 2005 est.,"7,911,974",93
Burundi,July 2005 est.,"7,795,426",94
Benin,July 2005 est.,"7,649,360",95
Switzerland,July 2005 est.,"7,489,370",96
Bulgaria,July 2005 est.,"7,450,349",97
Honduras,July 2005 est.,"7,167,902",98
Tajikistan,July 2005 est.,"7,163,506",99
Hong Kong,July 2005 est.,"6,898,686",100
El Salvador,July 2005 est.,"6,704,932",101
Paraguay,July 2005 est.,"6,347,884",102
Israel,July 2005 est.,"6,276,883",103
Laos,July 2005 est.,"6,217,141",104
Sierra Leone,July 2005 est.,"5,867,426",105
Libya,July 2005 est.,"5,765,563",106
Jordan,July 2005 est.,"5,759,732",107
Papua New Guinea,July 2005 est.,"5,545,268",108
Nicaragua,July 2005 est.,"5,465,100",109
Denmark,July 2005 est.,"5,432,335",110
Slovakia,July 2005 est.,"5,431,363",111
Togo,July 2005 est.,"5,399,991",112
Finland,July 2005 est.,"5,223,442",113
Kyrgyzstan,July 2005 est.,"5,146,281",114
Turkmenistan,July 2005 est.,"4,952,081",115
Georgia,July 2005 est.,"4,677,401",116
Eritrea,July 2005 est.,"4,669,638",117
Norway,July 2005 est.,"4,593,041",118
Croatia,July 2005 est.,"4,495,904",119
Moldova,July 2005 est.,"4,455,421",120
Bosnia and Herzegovina,July 2005 est.,"4,430,494",121
Singapore,July 2005 est.,"4,425,720",122
Central African Republic,July 2005 est.,"4,237,703",123
New Zealand,July 2005 est.,"4,035,461",124
Costa Rica,July 2005 est.,"4,016,173",125
Ireland,July 2005 est.,"4,015,676",126
Puerto Rico,July 2005 est.,"3,911,299",127
Lebanon,July 2005 est.,"3,826,018",128
"Congo, Republic of the",July 2005 est.,"3,602,269",129
Lithuania,July 2005 est.,"3,596,617",130
Albania,July 2005 est.,"3,563,112",131
Uruguay,July 2005 est.,"3,415,920",132
Panama,July 2005 est.,"3,140,232",133
Mauritania,July 2005 est.,"3,086,859",134
Oman,July 2005 est.,"3,001,583",135
Armenia,July 2005 est.,"2,982,904",136
Liberia,July 2005 est.,"2,900,269",137
Mongolia,July 2005 est.,"2,791,272",138
Jamaica,July 2005 est.,"2,735,520",139
United Arab Emirates,July 2005 est.,"2,563,212",140
West Bank,NA,"2,385,615",141
Kuwait,July 2005 est.,"2,335,648",142
Latvia,July 2005 est.,"2,290,237",143
