Anmerkungen,Name,Regierungszeit,Vollst�ndiger Name
Mitkaiser von Theodosius I. und Arcadius seit 393 (gegen Eugenius); Regent: Stilicho (bis 408),Honorius,395�423,Flavius Honorius
Usurpator (?) in Africa,Gildo,397�398,unbekannt
Usurpator in Britannien,Marcus,406,unbekannt
Usurpator in Britannien,Gratian,407,unbekannt
"Gegenkaiser in Gallien, Spanien und Britannien (409 nominell Mitkaiser des Honorius), ab 409/10 mit Constans (II., Caesar seit 408); Caesar: Julian (ab 409/10)",Konstantin (III.),407�411,Flavius Claudius Constantinus
Gegenkaiser in Italien (durch Alarich) bzw. S�dgallien (durch Athaulf),Priscus Attalus,409�410 414�415,unbekannt
Gegenkaiser in Spanien (durch Gerontius bzw. Gunderich),Maximus,409/10�411 418/19�420/21,unbekannt
"Gegenkaiser in Gallien (durch Gundahar und Goar), ab 412 mit Sebastianus",Jovinus,411�413,unbekannt
Usurpator (?) in Africa,Heraclianus,412�413,unbekannt
"Mitkaiser des Honorius (Mitregent seit 417), von Theodosius II. nicht anerkannt",Constantius III.,421,Flavius Constantius
"durch Castinus (?), von Theodosius II. nicht anerkannt",Johannes,423�425,unbekannt
"Caesar unter Theodosius II. seit 424 (gegen Johannes); Regenten: Galla Placidia (bis 437), A�tius (435�454); erkannte Geiserich als Regenten in Africa an",Valentinian III.,425�455,Flavius Placidus Valentinianus
Usurpator (?) in Britannien; Nachfolger: ?Ambrosius Aurelianus,Vortigern,426�441?,unbekannt
Usurpator (?) in Italien,Pirrus,428,unbekannt
von Markian nicht anerkannt; Caesar: Palladius,Petronius Maximus,455,Flavius Petronius Maximus
"durch Theoderich II., von Markian nicht anerkannt (?)",Avitus,455�456,Flavius Eparchius Avitus
"durch Ricimer (?), 457 nominell Caesar (?) unter Leo I.",Majorian,457�461,Flavius Iulius Valerius Maiorianus
Usurpator (?) in Gallien,Marcellus,457?,unbekannt
"durch Ricimer, von Leo I. nicht anerkannt (?)",Libius Severus,461�465,Flavius Libius Severus
"Usurpator (?) in Gallien; Nachfolger: Paulus (469?), Syagrius (bis 486/87)",Aegidius,461�464/65,unbekannt
467 Caesar unter Leo I.; Mitregent: Ricimer (bis 470/71),Anthemius,467�472,Flavius Procopius Anthemius
Usurpator (?) in Gallien (durch Eurich),Arvandus,468,unbekannt
Usurpator (?) in Italien (durch Ricimer?),Romanus,470,unbekannt
"durch Ricimer (und Geiserich?), gegen Anthemius, von Leo I. nicht anerkannt (?)",Olybrius,472,Flavius Anicius Olybrius
"durch Gundobad, von Leo I. nicht anerkannt",Glycerius,473�474,unbekannt
"474 Caesar (?) unter Leo II. und Zenon (gegen Glycerius), Exil ab 475 in Dalmatien; erkannte Eurich als Regenten in S�dgallien und Spanien an",Julius Nepos,474�480,Flavius Iulius Nepos
"Gegenkaiser in Italien (durch Orestes), von Odoaker abgesetzt",Romulus Augustulus,475�476,Romulus A(u)gustus
