Abun- dance,Common Name,Scientific Name
U,Red-throated Loon,Gavia stellata
FC,Pacific Loon,Gavia pacifica
FC,Common Loon,Gavia immer
U,Pied-billed Grebe,Podilymbus podiceps
FC,Horned Grebe,Podiceps auritus
U,Red-necked Grebe,Podiceps grisegena
FC,Eared Grebe,Podiceps nigricollis
FC,Western Grebe,Aechmophorus occidentalis
U,Clark's Grebe,Aechmophorus clarkii
X,Wandering Albatross,Diomedea exulans
X,Pink-footed Shearwater,Puffinus creatopus
X,Flesh-footed Shearwater,Puffinus carneipes
X,Sooty Shearwater,Puffinus griseus
C,Brown Pelican,Pelecanus occidentalis
C,Brandt's Cormorant,Phalacrocorax penicillatus
C,Double-crested Cormorant,Phalacrocorax auritus
C,Pelagic Cormorant,Phalacrocorax pelagicus
U,Magnificent Frigatebird,Fregata magnificens
C,Great Blue Heron,Ardea herodias
FC,Great Egret,Ardea alba
U,Snowy Egret,Egretta thula
R,Cattle Egret,Bubulcus ibis
U,Green Heron,Butorides virescens
U,Black-crowned Night-Heron,Nycticorax nycticorax
C,Turkey Vulture,Cathartes aura
C,Canada Goose,Branta canadensis
C,Brant,Branta bernicla
U,Wood Duck,Aix sponsa
U,American Wigeon,Anas americana
C,Mallard,Anas platyrhynchos
U,Cinnamon Teal,Anas cyanoptera
U,Northern Shoveler,Anas clypeata
U,Northern Pintail,Anas acuta
FC,Green-winged Teal,Anas crecca
FC,Harlequin Duck,Histrionicus histrionicus
FC,Surf Scoter,Melanitta perspicillata
FC,White-winged Scoter,Melanitta fusca
U,Black Scoter,Melanitta nigra
C,Bufflehead,Bucephala albeola
U,Common Goldeneye,Bucephala clangula
U,Hooded Merganser,Lophodytes cucullatus
FC,Common Merganser,Mergus merganser
FC,Red-breasted Merganser,Mergus serrator
FC,Ruddy Duck,Oxyura jamaicensis
C,Osprey,Pandion haliaetus
C,White-tailed Kite,Elanus leucurus
R,Bald Eagle,Haliaeetus leucocephalus
FC,Northern Harrier,Circus cyaneus
U,Sharp-shinned Hawk,Accipiter striatus
U,Cooper's Hawk,Accipiter cooperii
FC,Red-shouldered Hawk,Buteo lineatus
R,Broad-winged Hawk,Buteo platypterus
C,Red-tailed Hawk,Buteo jamaicensis
U,Ferruginous Hawk,Buteo regalis
U,Rough-legged Hawk,Buteo lagopus
R,Golden Eagle,Aquila chrysaetos
FC,American Kestrel,Falco sparverius
U,Merlin,Falco columbarius
U,Peregrine Falcon,Falco peregrinus
C,Wild Turkey,Meleagris gallopavo
C,California Quail,Callipepla californica
R,Virginia Rail,Rallus limicola
R,Sora,Porzana carolina
