% Change 09-10,Category,Name of Attraction,Visitor 2009,Visitor 2010
4.9,Museums/Art Galleries,British Museum,5569981,5842000
6.6,Museums/Art Galleries,Tate Modern,4747537,5061172
3.7,Museums/Art Galleries,National Gallery,4780030,4954914
13.2,Museums/Art Galleries,Natural History Museum,4105106,4647613
0.2,Museums/Art Galleries,Science Museum,2753493,2757917
15.8,Museums/Art Galleries,Victoria and Albert Museum,2269880,2629065
-7.3,Museums/Art Galleries,National Portrait Gallery,1961843,1819442
10.9,Museums/Art Galleries,Tate Britain,1501837,1665291
0.4,Museums/Art Galleries,Royal Observatory Greenwich,1569886,1576640
5.4,Museums/Art Galleries,British Library,1379475,1454612
144.3,Historic Properties,Old Royal Naval College,544522,1330260
20.5,Museums/Art Galleries,Imperial War Museum,887246,1069358
357.7,Museums/Art Galleries,Ashmolean Museum,227752,1042350
8.5,Museums/Art Galleries,Merseyside Maritime Museum,946699,1027475
14.1,Museums/Art Galleries,Museums Sheffield: Millennium Gallery,770644,879598
20.3,Museums/Art Galleries,National Maritime Museum,669199,804988
0,Wildlife,Holkham NNR,800000,800000
23.4,Museums/Art Galleries,World Museum Liverpool,606394,748065
13.2,Museums/Art Galleries,Birmingham Museum & Art Gallery,644259,729231
-19.3,Museums/Art Galleries,National Railway Museum,767863,619952
