Category,Publisher,Rank,Title
Action Adventure,Nintendo,1,The Legend of Zelda: Twilight Princess
Kids/Family,Nintendo,2,Mario Party 7
Action Adventure,Nintendo,3,Paper Mario: The Thousand-Year Door
Fighting,Nintendo,4,Super Smash Bros. Melee
RPG,Nintendo,5,Legend of Zelda: Collector's Edition
Racing,Nintendo,6,Mario Kart: Double Dash
Fighting,D3P,7,Naruto: Clash of Ninja 2
Sports,Nintendo,8,Super Mario Strikers
Action Adventure,Capcom,9,Resident Evil 4 (2 disc game)
Action Adventure,Nintendo,10,Super Mario Sunshine
