Amazon,Director(s),Rating,Released,Title,View Date
Buy It,Danny Boyle,,2010,127 Hours,2011-08-06
Buy It,Danny Boyle,,2002,28 Days Later,2008-11-08
Buy It,Juan Carlos Fresnadillo,,2007,28 Weeks Later,2010-03-13
Buy It,Alfred Hitchcock,,1935,The 39 Steps,2011-01-08
Buy It,James Mangold,,2007,3:10 to Yuma,2008-01-16
Buy It,Spike Jonze,,2003,Adaptation,2003-06-22
Buy It,Wolfgang Petersen,,1997,Air Force One,unknown
n/a,Tim Burton,,2010,Alice in Wonderland,2010-03-20
Buy It,John Hamburg,,2004,Along Came Polly,2006-06-20
Buy It,Sam Mendes,,1999,American Beauty,unknown
Buy It,Ridley Scott,,2007,American Gangster,2007-11-17
Buy It,Paul Weitz,,1999,American Pie,unknown
Buy It,James B. Rogers,,2001,American Pie 2,2001-09-02
Buy It,Mary Harron,,2000,American Psycho,2007-08-30
Buy It,Adam McKay,,2004,Anchorman: The Legend of Ron Burgundy,2004-07-09
Buy It,John Frankenheimer,,1996,Andersonville,unknown
Buy It,Ron Howard,,2009,Angels & Demons,2010-03-26
Buy It,Woody Allen,,1977,Annie Hall,2010-01-01
Buy It,Francis Ford Coppola,,1979,Apocalypse Now Redux,2006-12-23
Buy It,Paul Provenza,,2005,The Aristocrats,2006-05-25
Buy It,Michael Bay,,1998,Armageddon,unknown
Buy It,Sam Raimi,,1992,Army of Darkness,2007-04-06
Buy It,Jean-Pierre Melville,,1969,Army of Shadows,2009-09-26
Buy It,Steven Spielberg,,2001,Artificial Intelligence: AI,2001-07-10
n/a,Michel Hazanavicius,,2011,The Artist,2012-01-22
Buy It,Andrew Dominik,,2007,The Assassination of Jesse James by the Coward Robert Ford,2008-11-11
Buy It,"David Jackson, Dick Lowry",,2000,Atomic Train,unknown
Buy It,Joe Wright,,2007,Atonement,2007-12-13
n/a,James Cameron,,2009,Avatar,2010-01-09
Buy It,Martin Scorsese,,2004,The Aviator,2004-12-30
Buy It,Sam Mendes,,2009,Away We Go,2010-09-15
Buy It,Michael McCullers,,2008,Baby Mama,2008-04-25
Buy It,Robert Zemeckis,,1985,Back to the Future,unknown
Buy It,Robert Zemeckis,,1989,Back to the Future Part II,unknown
Buy It,Robert Zemeckis,,1990,Back to the Future Part III,unknown
Buy It,"Joel Coen, Ethan Coen",,1991,Barton Fink,2009-11-21
Buy It,Christopher Nolan,,2005,Batman Begins,2005-12-02
Buy It,Kinji Fukasaku,,2000,Battle Royale,2007-11-24
Buy It,Danny Boyle,,2000,The Beach,unknown
Buy It,"Steve Hickner, Simon J. Smith",,2007,Bee Movie,2007-10-30
Buy It,Jay Chandrasekhar,,2006,Beerfest,2007-09-06
Buy It,Spike Jonze,,1999,Being John Malkovich,unknown
Buy It,Christopher Guest,,2000,Best in Show,2007-12-08
Buy It,William Wyler,,1958,The Big Country,2008-09-06
Buy It,Robert D. Siegel,,2009,Big Fan,2011-02-27
Buy It,Tim Burton,,2003,Big Fish,unknown
Buy It,Joel Coen,,1998,The Big Lebowski,2009-06-20
Buy It,Barry Sonnenfeld,,2002,Big Trouble,2007-05-19
Buy It,Ridley Scott,,2001,Black Hawk Down,2009-11-27
Buy It,Darren Aronofsky,,2010,Black Swan,2011-06-11
Buy It,Ridley Scott,,1982,Blade Runner,2009-04-12
Buy It,"Josh Gordon, Will Speck",,2007,Blades of Glory,2007-04-07
Buy It,Ted Demme,,2001,Blow,2005-04-16
Buy It,Paul Thomas Anderson,,1997,Boogie Nights,unknown
Buy It,Troy Duffy,,1999,The Boondock Saints,2006-05-22
Buy It,Larry Charles,,2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-12-02
Buy It,Doug Liman,,2002,The Bourne Identity,unknown
Buy It,Paul Greengrass,,2004,The Bourne Supremacy,2007-08-11
Buy It,Paul Greengrass,,2007,The Bourne Ultimatum,2007-08-18
Buy It,Michael Moore,,2002,Bowling for Columbine,2007-06-02
Buy It,"Heidi Ewing, Rachel Grady",,2005,The Boys of Baraka,2008-06-20
Buy It,Gary Winick,,2009,Bride Wars,2009-06-19
Buy It,Ang Lee,,2005,Brokeback Mountain,2008-07-25
Buy It,Robert De Niro,,1993,A Bronx Tale,2007-02-10
Buy It,"Ethan Coen, Joel Coen",,2008,Burn After Reading,2008-09-11
Buy It,Bennett Miller,,2005,Capote,2006-08-16
Buy It,Michael Curtiz,,1942,Casablanca,2006-01-27
Buy It,Martin Scorsese,,1995,Casino,2006-03-17
Buy It,Martin Campbell,,2006,Casino Royale,2007-04-27
Buy It,Steven Spielberg,,2002,Catch Me If You Can,2002-12-29
Buy It,Tim Burton,,2005,Charlie and the Chocolate Factory,2005-07-16
Buy It,Jon Poll,,2007,Charlie Bartlett,2008-07-05
Buy It,Mike Nichols,,2007,Charlie Wilson's War,2008-06-07
Buy It,Joseph McGinty Nichol,,2000,Charlie's Angels,2007-08-12
Buy It,Alfonso Cuar?n,,2006,Children of Men,2010-06-07
Buy It,Lasse Hallstr?m,,2000,Chocolat,2009-03-15
Buy It,Ron Howard,,2005,Cinderella Man,2005-06-04
Buy It,Orson Welles,,1941,Citizen Kane,2006-10-21
Buy It,Lewis John Carlino,,1983,Class,2007-05-12
Buy It,Kevin Smith,,1994,Clerks.,2007-11-11
Buy It,Frank Coraci,,2006,Click,2008-12-26
Buy It,Stanley Kubrick,,1971,A Clockwork Orange,unknown
Buy It,Mike Nichols,,2004,Closer,2005-06-25
Buy It,Anthony Minghella,,2003,Cold Mountain,2004-01-18
Buy It,Michael Mann,,2004,Collateral,2004-08-20
Buy It,Tim Burton,,2005,Corpse Bride,unknown
Buy It,Paul Haggis,,2004,Crash,2006-01-07
Buy It,Scott Cooper,,2009,Crazy Heart,2010-07-20
Buy It,Ang Lee,,2000,"Crouching Tiger, Hidden Dragon",2001-03-16
Buy It,David Fincher,,2008,The Curious Case of Benjamin Button,2008-12-17
Buy It,Peter Hedges,,2007,Dan in Real Life,2008-03-15
Buy It,Christopher Nolan,,2008,The Dark Knight,2008-07-26
Buy It,Wolfgang Petersen,,1981,Das Boot,2007-08-02
Buy It,Roland Emmerich,,2004,The Day After Tomorrow,2005-05-31
Buy It,Richard Linklater,,1993,Dazed and Confused,2005-09-19
Buy It,Paul W.S. Anderson,,2008,Death Race,2011-08-01
Buy It,Martin Scorsese,,2006,The Departed,2006-10-07
Buy It,David Frankel,,2006,The Devil Wears Prada,2007-07-07
Buy It,Andrew Fleming,,1999,Dick,2006-08-06
Buy It,Neill Blomkamp,,2009,District 9,2010-01-16
Buy It,Richard Kelly,,2001,Donnie Darko,2006-07-29
Buy It,John Patrick Shanley,,2008,Doubt,2010-01-01
Buy It,David S. Ward,,1996,Down Periscope,unknown
Buy It,Oliver Hirschbiegel,,2004,Downfall,2011-02-19
Buy It,Stanley Kubrick,,1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,2006-02-11
Buy It,Bill Condon,,2006,Dreamgirls,2007-12-14
Buy It,Nicolas Winding Refn,,2011,Drive,2012-02-25
Buy It,Danny DeVito,,2003,Duplex,2007-09-02
Buy It,Tim Burton,,1994,Ed Wood,2009-03-28
Buy It,Tim Burton,,1990,Edward Scissorhands,2007-07-31
Buy It,Kevin Lima,,2007,Enchanted,2008-03-30
Buy It,Alex Gibney,,2005,Enron: The Smartest Guys in the Room,2006-09-02
Buy It,Michel Gondry,,2004,Eternal Sunshine of the Spotless Mind,unknown
Buy It,Banksy,,2010,Exit Through the Gift Shop,2011-03-11
Buy It,Stanley Kubrick,,1999,Eyes Wide Shut,2006-04-23
Buy It,"Joel Coen, Ethan Coen",,1996,Fargo,2006-12-01
Buy It,Terry Gilliam,,1998,Fear and Loathing in Las Vegas,2009-03-21
Buy It,"Bobby Farrelly, Peter Farrelly",,2005,Fever Pitch,2009-06-21
Buy It,David Fincher,,1999,Fight Club,unknown
Buy It,"Andrew Stanton, Lee Unkrich",,2003,Finding Nemo,unknown
Buy It,Marc Forster,,2004,Finding Neverland,2005-07-30
Buy It,Michael Ritchie,,1985,Fletch,2009-10-19
Buy It,Robert Schwentke,,2005,Flightplan,2006-06-16
Buy It,Errol Morris,,2003,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2009-04-16
Buy It,Christopher Nolan,,1998,Following,2010-05-30
Buy It,Nicholas Stoller,,2008,Forgetting Sarah Marshall,2010-07-16
Buy It,Ron Howard,,2008,Frost/Nixon,2009-06-12
Buy It,Stanley Kubrick,,1987,Full Metal Jacket,unknown
Buy It,Josh Fox,,2010,GasLand,2011-04-17
Buy It,Nicholas Stoller,,2010,Get Him to the Greek,2010-11-05
Buy It,Jerry Zucker,,1990,Ghost,2006-07-07
Buy It,Thomas Carter,,2009,Gifted Hands: The Ben Carson Story,2009-02-08
Buy It,Luke Greenfield,,2004,The Girl Next Door,2006-12-26
Buy It,James Foley,,1992,Glengarry Glen Ross,2007-02-28
Buy It,Edward Zwick,,1989,Glory,2007-02-18
Buy It,Doug Liman,,1999,Go,unknown
Buy It,Francis Ford Coppola,,1972,The Godfather,2010-07-24
Buy It,Francis Ford Coppola,,1974,The Godfather: Part II,2010-10-26
Buy It,Lutz Hachmeister,,2005,The Goebbles Experiment,2008-09-16
Buy It,Wolfgang Becker,,2003,"Good Bye, Lenin!",2010-11-12
Buy It,George Clooney,,2005,"Good Night, and Good Luck",2008-01-05
Buy It,Robert De Niro,,2006,The Good Shepherd,2007-05-19
Buy It,Sergio Leone,,1966,"The Good, the Bad and the Ugly",2009-10-03
Buy It,Martin Scorsese,,1990,Goodfellas,2006-11-13
Buy It,Bill Paxton,,2005,The Greatest Game Ever Played,2007-10-24
Buy It,Todd Phillips,,2009,The Hangover,2010-02-28
Buy It,"George Miller, Warren Coleman, Judy Morris",,2006,Happy Feet,2007-05-18
Buy It,Mark Illsley,,1999,"Happy, Texas",2005-10-29
n/a,David Yates,,2011,Harry Potter and the Deathly Hallows: Part 2,2011-07-24
Buy It,Mike Newell,,2005,Harry Potter and the Goblet of Fire,2005-11-19
n/a,David Yates,,2009,Harry Potter and the Half-Blood Prince,2009-08-01
Buy It,David Yates,,2007,Harry Potter and the Order of the Phoenix,2007-07-09
Buy It,Scott Hicks,,2001,Hearts in Atlantis,unknown
