City,City population,Country,Mayor,Metro population,World rank
Sacramento,"419,000",USA,Kevin Johnson,"1,000,000",n/r
Safi,"933,000",Morocco,n/k,,432
Saint Louis,"371,000",USA,Francis G. Slay,"2,850,000",n/r
Saitama,"1,183,000",Japan,Hayato Shimizu,,334
Sakai,"836,000",Japan,Keisuke Kiharac,,470
Sal�,"904,000",Morocco,n/k,,446
Salt Lake City,"188,000",USA,Ralph Becker,"1,677,000",n/r
Salvador da Bahia,"2,998,000",Brazil,Jo�o Henrique Carneiro,"3,173,000",79
Samara,"1,160,000",Russia,Viktor Tarkhov,"1,500,000",344
San Antonio,"1,351,000",USA,Julian Castro,"2,031,000",276
San Diego,"1,280,000",USA,Jerry Sanders,"3,001,000",305
San Francisco,"809,000",USA,n/k,"3,229,000",491
SAN JOSE,"357,000",Costa Rica,Johnny Araya,"1,370,000",n/r
San Jose,"1,007,000",USA,Chuck Reed,"1,819,000",409
SAN JUAN,"442,000",Puerto Rico,Jorge A. Santini Padilla,"2,500,000",n/r
San Luis Potosi,"685,000",Mexico,Jorge Lozano Armengol,"957,000",544
SAN SALVADOR,"520,000",El Salvador,Norman Quijano,"1,580,000",n/r
SANAA,"1,747,000",Yemen,Abdulrahman al-Akwaa,"2,168,000",172
Santa Cruz,"1,595,000",Bolivia,Percy Fernandez,"1,863,000",196
SANTIAGO,"5,278,000",Chile,Pablo Zalaquett Said,"6,677,000",35
Santiago de los Caballeros,"1,329,000",Dominican Republic,Gilberto Serulle,"1,937.000",284
Santiago de Queretaro,"805,000",Mexico,Francisco Dom�nguez Servien,"1,085,000",494
SANTO DOMINGO,"2,989,000",Dominican Republic,Roberto Salcedo,"3,813,000",80
Santos,"418,000",Brazil,Jo�o Paulo Tavares Papa,"1,477,000",n/r
Sao Bernardo do Campo,"783,000",Brazil,Luiz Marinho,,507
Sao Goncalo,"973,000",Brazil,n/k,"1.221,000",419
Sao Jose dos Campos,"611,000",Brazil,Eduardo Cury,"794,000",567
Sao Luis,"987,000",Brazil,Jo�o Castelo,"1,228,000",417
Sao Paulo,"11,038,000",Brazil,Gilberto Kassab,"19,890,000",9
Sapporo,"1,906,000",Japan,Fumio Ueda,"2,130,000",148
Saratov,"831,000",Russia,Vyacheslav Leonovich Somov,"1,100,000",472
Seattle,"578,000",USA,Mike McGinn,"3,584,000",581
Semarang,"1,393,000",Indonesia,Soemarmo HS,"1,400,000",259
Sendai,"1,032,000",Japan,Emiko Okuyama,"1,300,000",396
Seongnam,"1,073,000",South Korea,n/k,,379
SEOUL,"11,153,000",South Korea,Oh Se-hoon,"24,472,000",8
Sevilla,"704,000",Spain,lfredo S�nchez Monteseir�n,"1,135,000",537
Shanghai,"14,900,000",China,Han Zheng,"19,200,000",2
Shangqiu,"1,610,000",China,Tao Minglun,"8,220,000",191
Shantou,"1,770,000",China,Cai Zong Ze,"4,972,000",167
Sheffield,"535,000",UK,Paul Scriven,"640,000",599
Shenyang,"5,090,000",China,Li Yingjie,"7,760,000",37
Shenzhen,"4,320,000",China,Xy Qin,"8,616,000",50
Shijiazhuang,"2,630,000",China,Ai Wenli,"9,600,000",97
Shiraz,"1,228,000",Iran,Mehran E'temad,"1,300,000",318
Shizuoka,"718,000",Japan,Zenkichi Kojima,"1,211,000",530
Sholapur,"890,000",India,n/k,"890,000",455
Shouguang,"1,090,000",China,n/k,,373
SINGAPORE,"4,988,000",Singapore,Lee Hsien Loong,,39
SOFIA,"1,403,000",Bulgaria,Yordanka Fandukova,"1,455,000",252
Solapur,"1,134,000",India,Aruna Vakase,,351
Songzi,"905,000",China,n/k,,445
Soweto,"923,000",South Africa,Amos Masondo (Johannesburg),,436
Srinagar,"915,000",India,Salman Sagar,"1,050,000",440
St Petersburg,"4,661,000",Russia,Valentina Matviyenko,"4,900,000",43
St. Louis,"372,000",USA,Francis G Slay,"2,850,000",n/r
STOCKHOLM,"826,000",Sweden,Sten Nordin,"1,252,000",475
Strasbourg,"273,000",France,Roland Rie,"639,000",n/r
Stuttgart,"600,000",Germany,Wolfgang Schuster,"2,330,000",570
Subra al-Haymah,"998,000",Egypt,n/k,,412
Suining,"1,385,000",China,n/k,"3,500,000",262
Suizhou,"1,680,000",China,Li Hongyun,,181
Surabaya,"3,100,000",Indonesia,Bambang D H,"3,700,000",77
Surakarta,"533,000",Indonesia,n/k,"857,000",600
Surat,"5,390,000",India,Rajendra Desai,"6,347,000",34
Suwon,"1,087,000",South Korea,n/k,,375
Suzhou,"2,383,000",China,Yan Li,"6,298,000",119
Suzhou Anhui,"1,800,000",China,Tang Chengpei,"5,600,000",161
Sydney,"4,400,000",Australia,Clover Moore,,48
Tabriz,"1,420,000",Iran,Alireza Novin,,248
Taian,"1,650,000",China,Li Hongfeng,"5,500,000",186
Taichung,"1,065,000",Taiwan,Jason Hu,"2,700,000",384
Tainan,"769,000",Taiwan,Hsu Tain-tsair,"785,000",512
TAIPEI,"2,620,000",Taiwan,Hau Lung-pin,"6,753,000",98
Taishan,"1,070,000",China,n/k,,381
Taixing,"1,355,000",China,Gao Yazi,,274
Taiyuan,"2,550,000",China,Zhang Bingsheng,"3,400,000",103
Taizhou,"1,528,000",China,Wu Weirong,"5,741,000",210
TALLINN,"407,000",Estonia,Edgar Savisaar,,n/r
Tampa,"341,000",USA,Pam Iorio,"2,700,000",n/r
Tampico,"319,000",Mexico,n/k,"775,000",n/r
Tangerang,"1,545,000",Indonesia,Wahidin Halim,,203
Tangier,"710,000",Morocco,n/k,,536
Tangshan,"1,980,000",China,Zhang Guodong,"7,100,000",142
TASHKENT,"2,180,000",Uzbekistan,Abdukahar Tuhtayev,"3,400,000",132
TBILISI,"1,490,000",Georgia,Giorgi Ugulava,"1,550,000",221
Tegal,"238,000",Indonesia,n/k,"784,000",n/r
Tegucigalpa,"1,200,000",Honduras,Ricardo Alvarez,"1,324,000",326
