Appropriate Officer,Political Party,Total value of donations disclosed
Mr. Daniel J.Desmond,Christian Democrats (The National Party),Nil
Mr. Michael Redmond,Christian Solidarity Party,Nil
Mr. Eugene McCartan,Communist Party of Ireland,Nil
Mr. Se�n Dorgan,Fianna F�il,Nil
Mr. Tom Curran,Fine Gael,Nil
Mr. Martin C. Nolan,Green Party,"30,600"
Mr. Mike Allen,Labour Party,"11,100"
Mr. John Higgins,Progressive Democrats,Nil
Mr. Desmond Mackin,Sinn F�in,"87,233.80"
Mr. Michael Murphy,Socialist Party,"11,819.55"
Ms. Br�d Smith,Socialist Workers Party,Nil
Mr. Donie Doody,South Kerry Independent Alliance,Nil
Mr. John Lowry,The Workers Party,Nil
,Total,"140,753.35"
