,Capital,Country,Italian
1,Kabul,Afghanistan,
2,Tirana,Albania,Tirana
3,Algiers,Algeria,Algeri
4,Pago Pago,American Samoa,Pago Pago
5,Andorra La Vella,Andorra,
6,Luanda,Angola,
7,The Valley,Anguilla,
8,"St. John?s, Antigua",Antigua and Barbuda,
9,"Buenos Aires, BA",Argentina,
10,Yerevan,Armenia,Jerevan
11,Oranjestad,Aruba,
12,"Canberra, AC",Australia,"Canberra, AC"
13,Vienna,Austria,Vienna
14,Baku,Azerbaijan,
15,"Ponta Delgada, Sao Miguel","Azores Islands, Portugal",
16,Nassau (Int?l),"Bahamas, The",
17,Manama,Bahrain,
18,Dhaka,Bangladesh,Dacca
19,Bridgetown,Barbados,
20,Minsk (Int?l 1),Belarus,
21,Brussels (National),Belgium,Bruxelles
22,Belmopan,Belize,
23,Porto Novo-Cotonou,Benin,
24,Hamilton,Bermuda,
25,Thimphu,Bhutan,Thimbu
26,La Paz,Bolivia,
27,Sarajevo,Bosnia-Herzegovina,
28,Gaborone,Botswana,
29,"Brasilia, DF",Brazil,
30,Diego Garcia (Atoll),British Indian Ocean Territory,
31,Bandar Seri Begawan,Brunei,
32,Sofia,Bulgaria,
33,Ouagadougou,Burkina Faso,
34,Bujumbura,Burundi,
35,Phnom Penh,Cambodia,
36,Yaounde,Cameroon,
37,"Ottawa, OT",Canada,
38,Gran Canaria,"Canary Islands, Spain",
39,"Praia, Sao Tiago Island",Cape Verde Islands,
40,George Town,Cayman Islands,Georgetown
41,Bangui,Central African Republic,
42,N?Djamena,Chad,
43,"St. Helier, Jersey","Channel Islands, U.K.",
44,Santiago,Chile,
45,Beijing (Capital),China,Pechino
46,Christmas Island,"Christmas Island, Australia",
47,Cocos Island,"Cocos (Keeling) Is., Australia",
48,Bogota,Colombia,Bogot?
49,Moroni (Int?l),Comoros,
50,Kinshasa,"Congo, Dem. Rep. of (Zaire)",
51,Brazzaville,"Congo, Republic of",
52,"Avarua, Rarotonga Island","Cook Islands, New Zealand",
53,San Jose (Juan Santamaria Int?l),Costa Rica,
54,Yamoussoukro,Cote D?Ivoire (Ivory Coast),
55,Zagreb,Croatia,Zagrabia
56,Havana,Cuba,L?Avana
57,Nicosia,Cyprus,
58,Prague,Czech Republic,Praga
59,Copenhagen,Denmark,Copenaghen
60,Djibouti,Djibouti,Gibuti
61,Roseau (Melville Hall),Dominica Island,
62,Santo Domingo (Las Americas),Dominican Republic,
63,Hanga Roa (Mataveri Int?l),"Easter Island, Chile",
64,Quito,Ecuador,
65,Cairo,Egypt,Il Cairo
66,San Salvador,El Salvador,
67,Malabo,Equatorial Guinea,
68,Asmara,Eritrea,
69,Tallinn,Estonia,
70,Addis Ababa,Ethiopia,Addis Abeba
71,Port Stanley,Falkland Islands,
72,Torshavn,Faroe Islands,
73,Suva,Fiji Islands,
74,Helsinki,Finland,
75,Paris,France,Parigi
76,Cayenne,French Guiana,Caienna
77,"Papeete, Tahiti",French Polynesia (Islands),
78,Libreville,Gabon,
79,Galapagos,"Galapagos Is., Ecuador",
80,Banjul,"Gambia, The",
81,T?Bilisi,Georgia,Tbilisi
82,Berlin,Germany,Berlino
83,Accra,Ghana,
84,Gibraltar,Gibraltar,Gibilterra
85,Athens,Greece,Atene
86,Nuuk (Godthab),Greenland,
87,St. George?s,Grenada,
88,Basse - Terre,Guadeloupe,
89,Agana,Guam,
90,Guatemala City,Guatemala,Citt? del Guatemala
91,Conakry,"Guinea, Republic of",
92,Bissau,Guinea-Bissau,
93,Georgetown,Guyana,
94,Port-au-Prince,Haiti,
95,Vatican City,Holy See,Citt? del Vaticano
96,Tegucigalpa,Honduras,
97,Victoria,Hong Kong,
98,Budapest,Hungary,
99,Reykjavik (Capital),Iceland,
100,"New Delhi, ND",India,Nuova Delhi
101,Jakarta,Indonesia,Giacarta
102,Tehran,Iran,Teheran
103,Baghdad,Iraq,
104,Dublin,Ireland,Dublino
105,Jerusalem,Israel,Gerusalemme
106,Rome,Italy,Roma
107,Kingston (Int?l),Jamaica,
108,Tokyo,Japan,
109,Amman (Queen Alia Int?l),Jordan,
110,Astana,Kazakhstan,
111,Nairobi,Kenya,
112,Tarawa,Kiribati Islands,
113,P?yongyang,"Korea, D.P. Republic of",
114,Seoul,"Korea, Republic of",
115,Kuwait,Kuwait,
116,Bishkek,Kyrgyzstan,
117,Vientiane,"Lao, P.D. Republic of",
118,Riga,Latvia,
119,Beirut,Lebanon,
120,Maseru,Lesotho,
121,Monrovia,Liberia,
122,Tripoli (Int?l),Libya,
123,Vaduz,Liechtenstein,
124,Vilnius,Lithuania,
125,Luxembourg,Luxembourg,Lussemburgo
126,Macao,Macau,
127,Skopje,Macedonia (FYR),
128,Antananarivo,Madagascar,
129,Funchal,"Madeira Island, Portugal",
130,Lilongwe,Malawi,
131,Kuala Lumpur,Malaysia,
132,Male,Maldive Islands,
133,Bamako,"Mali, Republic of",
134,Valletta,Malta,La Valletta
135,Majuro,Marshall Islands,
136,Fort-de-France,Martinique,
137,Nouakchott,Mauritania,
138,Port Louis,Mauritius,
139,Mamoutzou (Dzaoudzi Port),Mayotte Island,
140,Mexico City,Mexico,Citt? del Messico
141,"Palikir, Pohnpei Island","Micronesia, Federated States of",
142,Midway Island,"Midway Island, U.S.",
143,Chisinau,Moldova,Kisinev
144,Monaco,Monaco,
145,Ulaanbaatar,Mongolia,Ulan-Bator
146,Plymouth,Montserrat,
147,Rabat,Morocco,
148,Maputo,Mozambique,
149,Yangon (Rangoon),Myanmar (Burma),Rangoon
150,Windhoek (Int?l),Namibia,
151,Yaren,Nauru Island,
152,Kathmandu,Nepal,Katmandu
153,Amsterdam,Netherlands,
154,"Willemstad, Curacao",Netherlands Antilles,
155,"Noumea, South Province",New Caledonia,
156,Wellington,New Zealand,
157,Managua,Nicaragua,
158,Niamey,Niger,
159,Abuja,Nigeria,
160,Alofi,"Niue Island, New Zealand",
161,Kingston,"Norfolk Islands, Australia",
