Animal,Class,Phylum,Title
,,,
African Grey Parrot,Bird,Chordata-vertebrata,If You Were a Parrot
Alligator,Reptile,Chordata-vertebrata,ABC Safari
American Oyster Catcher,Bird,Chordata-vertebrata,Turtle Summer
Antelopes,Mammal-Land,Chordata-vertebrata,Twas the Day Before Zoo Day
Asian Short-Clawed Otter,,,River Beds
Bald Eagle,,,Whistling Wings
Bandicoot,Mammal-Land,Chordata-vertebrata,Kersplatypus
Bat,Mammal-Land,Chordata-vertebrata,"Rainforest Grew All Around, The?"
Beaver,Mammal-Land,Chordata-vertebrata,ABC Safari
Beaver,,,River Beds
Beluga Whale,Mammal-Marine,Chordata-vertebrata,In Arctic Waters
Beluga Whale,Mammal-Marine,Chordata-vertebrata,Water Beds: Sleeping in the Ocean
Birds,Bird,Chordata-vertebrata,Animals are Sleeping
Black Bear?,,,Blackberry Banquet
Black bears,Mammal-Land,Chordata-vertebrata,Twas the Day Before Zoo Day
Black Skimmers,Bird,Chordata-vertebrata,Turtle Summer
Blue and Gold Macaw,Bird,Chordata-vertebrata,If You Were a Parrot
Blue Crab,Crustacean,Arthropod,"Day in the Salt Marsh, A?"
Blue Whale,Mammal-Marine,Chordata-vertebrata,Happy Birthday to Whooo?
Bluebird,,,Blackberry Banquet
Blue-tongued Skink?,Mammal-Land,Chordata-vertebrata,Kersplatypus
Bobcat,Mammal-Land,Chordata-vertebrata,Burro's Tortillas
Boto Dolphin,,,River Beds
Bottlenose Dolphin,Mammal-Marine,Chordata-vertebrata,"Day in the Salt Marsh, A?"
Bottlenose Dolphin,Mammal-Marine,Chordata-vertebrata,If a Dolphin Were a Fish
Brewer�s Blackbird,Bird,Chordata-vertebrata,The Best Nest
Brushtail Possum?,Mammal-Land,Chordata-vertebrata,Kersplatypus
Burro,Mammal-Land,Chordata-vertebrata,Burro's Tortillas
Camel,Mammal-Land,Chordata-vertebrata,Happy Birthday to Whooo?
Capybara,,,River Beds
Cardinal,Bird,Chordata-vertebrata,Christmas Eve Blizzard
Cat,,,Saturn for My Birthday
Cheetah,Mammal-Land,Chordata-vertebrata,ABC Safari
Chick,Bird,Chordata-vertebrata,Animals are Sleeping
Clam,Bi-valve,Mollusk,Turtle Summer
Clown Fish,Fish-bony,Chordata-vertebrata,Octavia and Her Purple Ink Cloud
Clownfish,Fish-bony,Chordata-vertebrata,Animals are Sleeping
Common grackle,Bird,Chordata-vertebrata,The Best Nest
Cormorant,Bird,Chordata-vertebrata,Ocean Seasons
Cottontail Rabbit,Mammal-Land,Chordata-vertebrata,Little Skink's Tail?
Coyote,Mammal-Land,Chordata-vertebrata,Burro's Tortillas
Crab,Crustacean,Arthropod,Ocean Seasons
Crocodile,Reptile,Chordata-vertebrata,Giraffe Who Was Afraid of Heights
Crow,Bird,Chordata-vertebrata,Little Skink's Tail?
Deer,Mammal-Land,Chordata-vertebrata,In My Backyard
Deer,Mammal-Land,Chordata-vertebrata,Pieces of Another World
Deer,,,Blackberry Banquet
Diamondback Terrapin,Reptile,Chordata-vertebrata,"Day in the Salt Marsh, A?"
Dog,Mammal-Land,Chordata-vertebrata,One Odd Day
Dog,,,Saturn for My Birthday
Dog - Springer Spaniel,Mammal-Land,Chordata-vertebrata,Loon Chase
Dolphin,Mammal-Marine,Chordata-vertebrata,ABC Safari
Dolphin,Mammal-Marine,Chordata-vertebrata,Water Beds: Sleeping in the Ocean
Dolphin,Mammal-Marine,Chordata-vertebrata,"Day in the Salt Marsh, A?"
Dolphin or Mahi Mahi,Fish-bony,Chordata-vertebrata,If a Dolphin Were a Fish
Eagle,Bird,Chordata-vertebrata,Happy Birthday to Whooo?
Elephant,Mammal-Land,Chordata-vertebrata,ABC Safari
Elephant,Mammal-Land,Chordata-vertebrata,Happy Birthday to Whooo?
Elephant,Mammal-Land,Chordata-vertebrata,Animals are Sleeping
Elephant Seal,Mammal-Marine,Chordata-vertebrata,Water Beds: Sleeping in the Ocean
Elephants,Mammal-Land,Chordata-vertebrata,Twas the Day Before Zoo Day
Emerald Tree Boa,Reptile,Chordata-vertebrata,"Rainforest Grew All Around, The?"
Fiddler Crab,Crustacean,Arthropod,"Day in the Salt Marsh, A?"
Firefly,Insect,Arthropod,Tudley Didn't Know
Flamingo,Bird,Chordata-vertebrata,Happy Birthday to Whooo?
Flamingo,Bird,Chordata-vertebrata,Animals are Sleeping
Flamingos,Bird,Chordata-vertebrata,Twas the Day Before Zoo Day
Flounder,Fish-bony,Chordata-vertebrata,"Day in the Salt Marsh, A?"
