area,country,pop. dens.,population
(km?),,(/km?),(2002-07-01 est.)
"2,040",Mauritius,588,"1,200,206"
374,Mayotte (Fr.),457,"170,879"
"2,512",Reunion (Fr.),296,"743,981"
"2,170",Comoros,283,"614,382"
"26,338",Rwanda,281,"7,398,074"
"27,830",Burundi,229,"6,373,002"
455,Seychelles,176,"80,098"
"1,001",S?o Tom? and Pr?ncipe,170,"170,372"
"923,768",Nigeria,141,"129,934,911"
"11,300",Gambia,129,"1,455,842"
"236,040",Uganda,105,"24,699,073"
"4,033",Cape Verde,101,"408,760"
"56,785",Togo,93,"5,285,501"
"118,480",Malawi,90,"10,701,824"
"239,460",Ghana,85,"20,244,154"
"71,740",Sierra Leone,78,"5,614,743"
"30,355",Lesotho,73,"2,207,954"
"1,001,450",Egypt,71,"70,712,345"
"446,550",Morocco (excluding Western Sahara),70,"31,167,783"
"17,363",Swaziland,65,"1,123,605"
"112,620",Benin,60,"6,787,625"
"1,127,127",Ethiopia,60,"67,673,031"
"163,610",Tunisia,60,"9815,644"
"196,190",Senegal,54,"10,589,571"
"582,650",Kenya,53,"31,138,735"
"322,460",C?te d'Ivoire,52,"16,804,784"
"274,200",Burkina Faso,46,"12,603,185"
"945,087",Tanzania,39,"37,187,939"
"36,120",Guinea-Bissau,37,"1,345,479"
"121,320",Eritrea,37,"4,465,651"
"1,219,912",South Africa,36,"43,647,658"
"475,440",Cameroon,34,"16,184,748"
"245,857",Guinea,32,"7,775,065"
"111,370",Liberia,30,"3,288,198"
"390,580",Zimbabwe,29,"11,376,676"
"587,040",Madagascar,28,"16,473,477"
"801,590",Mozambique,24,"19,607,519"
"2,345,410",Democratic Republic of the Congo,24,"55,225,478"
"23,000",Djibouti,21,"472,810"
"28,051",Equatorial Guinea,18,"498,144"
410,Saint Helena (UK),18,"7,317"
"2,505,810",Sudan,15,"37,090,298"
"2,381,740",Algeria,14,"32,277,942"
"752,614",Zambia,13,"9,959,037"
"637,657",Somalia,12,"7,753,310"
"1,240,000",Mali,9.1,"11,340,480"
"342,000",Republic of the Congo,8.7,"2,958,448"
"1,246,700",Angola,8.5,"10,593,171"
"1,267,000",Niger,8.4,"10,639,744"
"1,284,000",Chad,7.0,"8,997,237"
"622,984",Central African Republic,5.8,"3,642,739"
"267,667",Gabon,4.6,"1,233,353"
"1,759,540",Libya,3.1,"5,368,585"
"1,030,700",Mauritania,2.7,"2,828,858"
"600,370",Botswana,2.7,"1,591,232"
"825,418",Namibia,2.2,"1,820,916"
"266,000",Western Sahara (Morocco),1.0,"256,177"
