Company/Organization,Industry,Video uses/ Type of video
3M Co.,Diversified Industrials,"Solutions videos, demo videos"
Alcoa Inc.,Aluminum,"Plant expansion, news, events, awards"
American Express Co.,Consumer Finance,-
American International Group Inc.,Full Line Insurance,-
AT&T Inc.,Telecoms,"New products, video share"
Bank of America,Institutional and Retail banking,"New products, commercials"
Boeing Co.,Aerospace & Defense,"Plane virtual tours, first flights, carrier takeoffs and landings"
Caterpillar Inc.,Commercial Vehicles & Trucks,Product commercials
Chevron Corp.,Oil and gas,"Technology overview, corporate news"
Citigroup Inc.,Banks,Community videos
Coca-Cola Co.,Beverages,"Product commercials, branding"
E.I. DuPont de Nemours & Co.,Commodity Chemicals,Product videos
Exxon Mobil Corp.,Integrated Oil & Gas,Math and science initiative
General Electric Co.,Diversified Industrials,"News, desalination project, jet engine composites, cleaner coal, etc."
General Motors Corp.,Automobiles,"President's message, car videos"
Hewlett-Packard Co.,Diversified Computer Systems,"Success stories, innovation, recycling cartridges, marketing a small business, HP Uncut, Enterprise TV"
Home Depot Inc.,Home improvement retailers,"HomeDepot.com/know-how, HomeDepot.com TV, instructional videos, kitchen project, flooring project, how-tos, product demos, news, volunteer projects, community"
Intel Corp.,Semiconductors,"Commercials, news, chip chat, behind the scenes, breakthroughs"
International Business Machines Corp.,Computer Services,"Videos in English, French, German, Italian, and Spanish, Video surveillance, crime and video, troubleshooting"
Johnson & Johnson,Pharmaceuticals,"Company videos, innovation videos, advertising videos"
JPMorgan Chase & Co.,Banks,"Financial services, online banking videos, video tours"
McDonald's Corp.,Restaurants & Bars,Happy meal movie trailers
Merck & Co. Inc.,Pharmaceuticals,"Merck manual, public health challenges"
Microsoft Corp.,Software,"Robotics studio tour, video tutorials, business solutions"
Pfizer Inc.,Pharmaceuticals,"Charlie Rose Science Series, video archive, Multimedia library behind login, video Webcast"
Procter & Gamble Co.,Non-Durable Household Products,"Product videos, fixodent.com, sustainability, special Olympics, community diversity"
United Technologies Corp.,"Aerospace, Heating/Cooling, Elevators",Shareholder reports (link broken)
Verizon Communications Inc.,Telecoms,"Video clips for phones, Vcast Mobile TV"
Wal-Mart Stores Inc.,Broadline Retailers,"Associates� videos, sustainability, video center"
Walt Disney Co.,Broadcasting & Entertainment,"Entertainment, TV shows, movie trailers"
