Capital City,Country Name (Click For Destination Guides),Map (Click to view Map)
,South America Continent,Click for Map
Jamestown,Saint Helena,Click for Map
Basseterre,Saint Kitts and Nevis,Click for Map
Castries,Saint Lucia,Click for Map
Saint-Pierre,Saint Pierre and Miquelon,Click for Map
Kingstown,Saint Vincent and the Grenadines,Click for Map
Apia,Samoa,Click for Map
San Marino,San Marino,Click for Map
Sao Tome,Sao Tome and Principe,Click for Map
Riyadh,Saudi Arabia,Click for Map
Dakar,Senegal,Click for Map
Belgrade,Serbia,Click for Map
Victoria,Seychelles,Click for Map
Freetown,Sierra Leone,Click for Map
Singapore,Singapore,Click for Map
Bratislava,Slovakia,Click for Map
Ljubljana,Slovenia,Click for Map
Honiara,Solomon Islands,Click for Map
Mogadishu,Somalia,Click for Map
Pretoria,South Africa,Click for Map
,South America Continent,Click for Map
none; Grytviken on South Georgia is the garrison town,South Georgia and the South Sandwich Islands,Click for Map
Seoul,South Korea,Click for Map
Madrid,Spain,Click for Map
Colombo,Sri Lanka,Click for Map
Khartoum,Sudan,Click for Map
Paramaribo,Suriname,Click for Map
Longyearbyen,Svalbard,Click for Map
Mbabane; note - Lobamba is the royal and legislative capital,Swaziland,Click for Map
Stockholm,Sweden,Click for Map
Bern,Switzerland,Click for Map
Damascus,Syria,Click for Map
