Fläche-(km2),Länge-(km),Max.-Tiefe-(m),Name,Rang,Staat(en),Volumen-(km?)
371.000,1199,1025,Kaspisches-Meer,1.,Aserbaidschan Russland Kasachstan Turkmenistan Iran,78.200
82.414,616,405,Oberer-See,2.,USA-Kanada,12.100
69.485,322,84,Victoriasee,3.,Kenia Tansania Uganda,2750
59.596,397,229,Huronsee,4.,USA-Kanada,3540
58.016,517,282,Michigansee,5.,USA,4918
32.893,676,1470,Tanganjikasee,6.,Tansania DR-Kongo Sambia Burundi,18.900
31.500,636,1680 (2008),Baikalsee,7.,Russland,23.600
31.080,373,446,Gro?er-B?rensee,8.,Kanada,2236
30.044,579,706,Malawisee,9.,Malawi Mosambik Tansania,8400
28.930,480,614,Gro?er-Sklavensee,10.,Kanada,2090
25.719,388,64,Eriesee,11.,USA-Kanada,489
23.553,425,18,Winnipegsee,12.,Kanada,283
19.477,311,244,Ontariosee,13.,USA-Kanada,1639
18.428,605,26,Balchaschsee,14.,Kasachstan,106
18.130,219,230,Ladogasee,15.,Russland,908
17.160,428,-,Aralsee,16.,Kasachstan Usbekistan,-
15.690,250,1000,Wostoksee,17.,Antarktis,5400
9891,248,120,Onegasee,18.,Russland,280
8135,177,281,Titicacasee,19.,Bolivien-Peru,893
8001,177,26,Nicaraguasee,20.,Nicaragua,-
7920,335,243,Athabascasee,21.,Kanada,204
6405,248,109,Turkanasee,22.,Kenia-?thiopien,204
6330,245,337,Reindeer-Lake,23.,Kanada,?
6200,182,668,Issyk-Kul,24.,Kirgisistan,1738
6001,130,16,Urmia-See,25.,Iran,-
5694,-,-,Koko-Nor,26.,VR-China,-
5545,140,106,V?nern,27.,Schweden,153
5403,245,-,Lake-Winnipegosis,28.,Kanada,-
5299,161,58,Albertsee,29.,Uganda DR-Kongo,280
5120,-,27,Mwerusee,30.,Sambia DR-Kongo,-
5051,123,-,Nettilling-Lake,31.,Kanada,-
4848,-,165,Lake-Nipigon,32.,Kanada,-
4706,200,-,Lake-Manitoba,33.,Kanada,-
4560,250,26,Taimyrsee,34.,Russland,-
4400,80,-,Chankasee,35.,Russland VR-China,-
4390,120,-,Lake-of-the-Woods,36.,Kanada-USA,-
3833,-,-,Lake-Dubawnt,37.,Kanada,-
3740,120,457,Vansee,38.,T?rkei,-
3628,84,14,Tanasee,39.,?thiopien,-
3555,143,14,Peipussee,40.,Estland Russland,-
3350,200,-,Ubsa-Nor,41.,Mongolei,-
3115,80,-,Amadjuak-Lake,42.,Kanada,-
3000,250,-,Aydar-Ko?l,43.,Usbekistan,"44,3"
2650,-,450,Kiwusee,44.,DR-Kongo Ruanda,-
2650,-,54,Alakol,45.,Kasachstan,"58,6"
