Conscription,Country,GDP nominal (US$M),Government,Land area,Per capita GDP (US$),Population
Yes,Albania,"$9,306",emerging democracy,"27,398","$2,584.63","3,600,523"
Yes,Algeria,"$90,000",republic,"2,381,740","$2,700.01","33,333,216"
Yes,Angola,"$28,610",republic; multiparty presidential regime,"1,246,700","$2,332.92","12,263,596"
"Legal, not practiced",Argentina,"$210,000",republic,"2,736,690","$5,210.67","40,301,927"
No (banned as enshrined by parliament in 1972,Australia,"$644,700",federal parliamentary democracy,"7,617,930","$31,550.09","20,434,176"
Yes,Austria,"$310,100",federal republic,"82,444","$37,818.07","8,233,300"
No,Bahamas,"$6,159",constitutional parliamentary democracy,"10,070","$20,150.17","305,655"
No,Bangladesh,"$69,340",parliamentary democracy,"133,910",$460.89,"150,448,339"
No (abolished in 1994),Belgium,"$316,200",democracy,"30,528","$31,400","10,584,534"
"Legal, not practiced",Belize,"$1,141",parliamentary democracy,"22,806","$3,875.88","294,385"
Yes (selective),Bhutan,$840.5,(possibly outdated) absolute monarchy; special treaty relationship with India; note - transition to a constitutional monarchy is expected in 2008 constitutional monarchy; special treaty relationship with India,"47,000",$361.06,"2,327,849"
Yes (only when there are few volunteers),Bolivia,"$10,330",republic,"1,084,390","$1,132.78","9,119,152"
No,Bosnia and Herzegovina,"$9,217",emerging federal democratic republic,"51,129","$2,024.74","4,552,198"
Yes,Brazil,"$967,000",federal republic,"8,456,510","$5,089.19","190,010,647"
"Officially prohibited, de facto still practiced",Burma,"$9,600",military junta,"657,740",$202.64,"47,373,958"
Yes (selective),China,"$2,518,000",socialist republic,"9,326,410","$1,904.90","1,321,851,888"
No (abolished by law in 2008),Croatia,"$37,420",presidential/parliamentary democracy,"56,414","$7,863.44","4,443,350"
Yes (both sexes),Cuba,"$40,000",socialist republic,"110,860","$3,510.61","11,394,043"
No,Djibouti,$702,republic,"22,980","$1,414.26","496,374"
"Legal, not practiced",El Salvador,"$15,160",republic,"20,720","$2,181.90","6,948,073"
Yes,Finland,"$199,000,",republic,"304,473","$35,111.80","5,246,100"
No (conscription suspended since 2001),France,"$2,149,000",republic,"640,053","$33,758.81","60,873,000"
No,Gambia,$462.5,republic,"10,000",$273.94,"1,688,359"
Yes,Germany,"$2,872,000",federal republic,"349,223","$34,853.95","82,400,996"
Yes,Greece,"$256,300",parliamentary republic,"130,800","$24,000","10,706,290"
No (no military service),Grenada,$454,parliamentary democracy,344,"$5,046.07","89,971"
No,Hungary,"$207,000",parliamentary democracy,"93,030","$11,369.91","10,064,000"
Yes,Iran,"$193,500",theocratic republic,"1,636,000","$2,958.83","68,251,090"
No,India,"$804,000",federal republic,"2,973,190",$657.60,"1,094,583,000"
Yes (both sexes),Israel,"$140,300",parliamentary democracy,"20,330","$21,830.87","6,426,679"
No,Jamaica,"$9,230",constitutional parliamentary democracy,"10,831","$3,319.99","2,780,132"
No,Japan,"$4,883,000",constitutional monarchy with a parliamentary government,"374,744","$38,318.03","127,433,494"
No,Jordan,"$300,000",constitutional monarchy,"92,300","$2,068.33","6,053,193"
Yes,"Korea, North","$40,000",juche socialist republic,"120,410","$1,800","23,301,725"
Yes,"Korea, South","$897,400",republic,"98,190","$18,297.56","49,044,790"
Yes,Kuwait,"$60,720",constitutional emirate,"17,820","$24,234.11","2,505,559"
No (abolished in 2007),Lebanon,"$19,890",republic,"10,230","$5,066.87","3,925,502"
Yes,Libya,"$34,200","jamahiriya (a state of the masses) in theory, governed by the populace through local councils; in practice, an authoritarian state","1,759,540","$5,665.15","6,036,914"
No,Luxembourg,"$34,530",constitutional monarchy,"2,586","$71,904.24","480,222"
No,"Macedonia, Republic of","$6,225",parliamentary democracy,"24,856","$3,027.85","2,055,915"
Yes (selective),Malaysia,"$132,300,",constitutional monarchy,"328,550","$5,330.10","24,821,286"
No,Maldives,$906,republic,300,"$2,455.08","369,031"
No,Malta,"$5,447",republic,316,"$13,553.80","401,880"
Yes,Moldova,"$2,574",republic,"33,371",$595.77,"4,320,490"
"Legal, not practiced",Netherlands,"$612,700",constitutional monarchy,"33,883","$36,975.10","16,570,613"
No,New Zealand,"$98,390",parliamentary democracy,"268,021","$23,079.36","4,098,900"
No,Qatar,"$30,760",emirate,"11,437","$33,905.44","907,229"
No (ended in 2007),Romania,"$256,900",democracy,"238,392","$10,661","22,276,056"
Yes,Russia,"$733,600",federation,"16,995,800","$5,188.94","141,377,752"
No,Rwanda,"$1,968","republic; presidential, multiparty system","24,948",$198.64,"9,907,509"
No,Saudi Arabia,"$276,900",absolute monarchy,"2,149,690","$10,032.23","27,601,038"
Yes,Seychelles,$712,republic,455,"$8,694.06","81,895"
Yes,Singapore,"$137,762",parliamentary republic,692,"$30,723.61","4,553,009"
No,Slovenia,"$37,920",parliamentary republic,"20,151","$18,872.76","2,009,245"
No,South Africa,"$201,400",republic,"1,219,912","$3,994.61","46,888,200"
No,Spain,"$1,084,000",parliamentary monarchy,"499,542","$23,480.26","43,398,150"
