Altitude (m?tres),Nom du plan d'eau,Superficie nette (kilom?tres carr?s),Superficie totale (kilom?tres carr?s)
30,Nettilling Lake,5063,5542
236,Dubawnt Lake,3629,3833
113,Amadjuak Lake,3058,3115
278,Nueltin Lake,2033,2279
2,Baker Lake,1783,1887
140,Yathkyed Lake,1334,1449
80,Aberdeen Lake,1095,1100
381,Napaktulik Lake,1030,1080
148,Garry Lake,916,976
564,Contwoyto Lake,933,957
311,Ennadai Lake,669,681
279,Tulemalu Lake,662,668
266,Kamilukuak Lake,631,638
53,Kaminak Lake,554,600
11,Ferguson Lake,562,588
146,Tebesjuak Lake,501,575
92,Qamanirjuaq Lake,548,549
158,Lake Hazen,537,542
116,Princess Mary Lake,471,524
184,South Henik Lake,513,513
257,Angikuni Lake,437,510
6,Hall Lake,474,491
133,Tehek Lake,455,481
158,Mallery Lake,467,479
176,MacAlpine Lake,421,447
557,Bluenose Lake,391,401
