Appears In,Fell Name,Height (Ft)??,Height (m)??
The Southern Fells,Scafell Pike,3209,978
The Southern Fells,Scafell,3163,964
The Eastern Fells,Helvellyn,3117,950
The Northern Fells,Skiddaw,3054,931
The Southern Fells,Great End,2986,910
The Southern Fells,Bowfell,2959,902
The Western Fells,Great Gable,2949,899
The Western Fells,Pillar,2927,892
The Eastern Fells,Nethermost Pike,2923,891
The Eastern Fells,Catstye Cam,2920,890
The Southern Fells,Esk Pike,2904,885
The Eastern Fells,Raise,2897,883
The Eastern Fells,Fairfield,2864,873
The Northern Fells,Blencathra - Hallsfell Top,2848,868
The Northern Fells,Skiddaw Little Man,2838,865
The Eastern Fells,White Side,2831,863
The Southern Fells,Crinkle Crags - Long Top,2818,859
The Eastern Fells,Dollywaggon Pike,2815,858
The Eastern Fells,Great Dodd,2812,857
The North Western Fells,Grasmoor,2795,852
The Eastern Fells,Stybarrow Dodd,2766,843
The Eastern Fells,St Sunday Crag,2759,841
The Western Fells,Scoat Fell,2759,841
The North Western Fells,Crag Hill [Eel Crag],2753,839
The Far Eastern Fells,High Street,2717,828
The Western Fells,Red Pike (Wasdale),2710,826
The Eastern Fells,Hart Crag,2697,822
The Western Fells,Steeple,2687,819
The Southern Fells,Lingmell,2648,807
The Western Fells,High Stile,2644,806
The Southern Fells,The Old Man of Coniston,2635,803
The Far Eastern Fells,High Raise (High Street),2631,802
The Southern Fells,Swirl How,2631,802
The Western Fells,Kirk Fell,2631,802
The Western Fells,Green Gable,2628,801
The Western Fells,Haycock,2615,797
The Southern Fells,Brim Fell,2612,796
The Eastern Fells,Dove Crag,2598,792
The Far Eastern Fells,Rampsgill Head,2598,792
The North Western Fells,Grisedale Pike,2595,791
The Eastern Fells,Watson's Dodd,2589,789
The Southern Fells,Allen Crags,2575,785
The Southern Fells,Great Carrs,2575,785
The Far Eastern Fells,Thornthwaite Crag,2572,784
The Southern Fells,Glaramara,2569,783
The Far Eastern Fells,Kidsty Pike,2559,780
The Far Eastern Fells,Harter Fell (Mardale),2552,778
The Southern Fells,Dow Crag,2552,778
The Eastern Fells,Red Screes,2546,776
The North Western Fells,Sail,2536,773
The Southern Fells,Grey Friar,2536,773
The North Western Fells,Wandope,2533,772
The North Western Fells,Hopegill Head,2526,770
The Eastern Fells,Great Rigg,2513,766
The Far Eastern Fells,Stony Cove Pike [Caudale Moor],2503,763
The Southern Fells,Wetherlam,2503,763
The Central Fells,High Raise,2500,762
The Southern Fells,Slight Side,2500,762
The Far Eastern Fells,Mardale Ill Bell,2493,760
The Far Eastern Fells,Ill Bell,2484,757
The Eastern Fells,Hart Side,2480,756
The Western Fells,Red Pike (Buttermere),2477,755
The North Western Fells,Dale Head,2470,753
The Northern Fells,Carl Side,2448,746
The Western Fells,High Crag (Buttermere),2441,744
The Far Eastern Fells,The Knott (High Street),2425,739
The North Western Fells,Robinson,2418,737
The Central Fells,Harrison Stickle,2415,736
The Central Fells,Sergeant Man,2415,736
The Eastern Fells,Seat Sandal,2415,736
The Northern Fells,Long Side,2408,734
The Far Eastern Fells,Kentmere Pike,2395,730
The North Western Fells,Hindscarth,2385,727
The Central Fells,Ullscarf,2382,726
The Eastern Fells,Clough Head,2382,726
The Central Fells,Thunacar Knott,2372,723
The Far Eastern Fells,Froswick,2362,720
The Eastern Fells,Birkhouse Moor,2356,718
The Northern Fells,Lonscale Fell,2346,715
The Western Fells,Brandreth,2346,715
The Far Eastern Fells,Branstree,2339,713
The Northern Fells,Knott,2329,710
The Central Fells,Pike of Stickle,2326,709
The North Western Fells,Whiteside [Whiteside West Top],2320,707
The Far Eastern Fells,Yoke,2316,706
The Southern Fells,Pike of Blisco,2313,705
The Northern Fells,Bowscale Fell,2303,702
The Southern Fells,Cold Pike,2300,701
The Central Fells,Pavey Ark,2297,700
The Far Eastern Fells,Gray Crag,2293,699
The Western Fells,Grey Knotts,2287,697
The Western Fells,Caw Fell,2287,697
The Far Eastern Fells,Rest Dodd,2283,696
The Western Fells,Seatallan,2270,692
The Northern Fells,Ullock Pike,2264,690
The Northern Fells,Great Calva,2264,690
The Northern Fells,Bannerdale Crags,2241,683
The Central Fells,Loft Crag,2231,680
The Eastern Fells,Sheffield Pike,2215,675
The Northern Fells,Bakestall,2208,673
The North Western Fells,Scar Crags,2205,672
The Far Eastern Fells,Loadpot Hill,2201,671
The Far Eastern Fells,Wether Hill,2198,670
The Far Eastern Fells,Tarn Crag (Sleddale),2178,664
The Northern Fells,Carrock Fell,2175,663
The North Western Fells,Whiteless Pike,2165,660
The Northern Fells,High Pike (Caldbeck),2159,658
