Common Names (abridged),Family,Habit,Scientific Name
"English: abutilon, Indian abutilon, Indian mallow",Malvaceae,shrub,Abutilon indicum
"English: abutilon-hemp, butterprint, buttonweed, China-jute, Indian-mallow, Tientsin-jute, velvetleaf, velvetweed",Malvaceae,herb,Abutilon theophrasti
"English: brown salwood, brush ironbark wattle, hickory wattle; Other: ?kasia (Cook Islands)",Fabaceae,tree,Acacia aulacocarpa
"English: Papuan wattle, auri, earleaf acacia, northern black wattle, ear-pod wattle; Other: ?kasia (Cook Islands)",Fabaceae,tree,Acacia auriculiformis
English: Bolivian wattle,Fabaceae,shrub,Acacia boliviana
"English: Formosa koa, Formosa acacia",Fabaceae,tree,Acacia confusa
"English: northern wattle, Papua New Guinea red wattle; Other: ?kasia (Cook Islands)",Fabaceae,tree,Acacia crassicarpa
"English: Ellington curse, klu, sweet acacia; Other: titima (Cook Islands); kolu (Hawai'i)",Fabaceae,shrub,Acacia farnesiana
English: redwood,Fabaceae,tree,Acacia glauca
"English: Sydney golden wattle, golden wattle, long-leaved wattle, long-leaved acacia, sallow wattle, coast wattle, golden rods",Fabaceae,tree,Acacia longifolia
"English: mangium, brown salwood, black wattle, hickory wattle; Other: ?kasia (Cook Islands)",Fabaceae,tree,Acacia mangium
English: black wattle; Other: ?kasia (Cook Islands),Fabaceae,tree,Acacia mearnsii
"English: Australian blackwood, blackwood acacia",Fabaceae,tree,Acacia melanoxylon
"English: prickly acacia, black thorn, Egyptian thorn, Nile acacia, algaroba, babul, gum arabic tree",Fabaceae,tree,Acacia nilotica
"English: chikakai, piquant sappan, sappan, soap pod",Fabaceae,shrub,Acacia sinuata
English: foxtail copperleaf,Euphorbiaceae,herb,Acalypha alopecuroides
"English: barbed-wire cactus, sword-pear, triangle cactus",Cactaceae,succulent,Acanthocereus tetragonus
,Asteraceae,herb,Acmella uliginosa
English: delta maidenhair fern,Pteridaceae,fern,Adiantum raddianum
,Fabaceae,herb,Aeschynomene americana
"English: budda pea, curly-indigo, hard sola, Indian joint-vetch, kat sola, northern joint-vetch, sensitive jointed vetch, sensitive vetch",Fabaceae,herb,Aeschynomene indica
"English: American aloe, century plant",Agavaceae,succulent,Agave americana
"English: sisal, sisal hemp; Other: malina (Hawai'i)",Agavaceae,succulent,Agave sisalana
"English: spreading mistflower, creeping croftonweed, river eupatorium; Other: hamakua pamakani (Hawai?i)",Asteraceae,herb,Ageratina riparia
"English: tree of heaven, varnishtree",Simaroubaceae,tree,Ailanthus altissima
,Lamiaceae,herb,Ajuga reptans
"English: Chinese albizia, silktree; Other: ?arapitia (Cook Islands); tamaligi uliuli, tamaligi ena?ena (Samoa)",Fabaceae,tree,Albizia chinensis
"English: siris-tree, rain tree, East Indian walnut, kokko, woman's-tongue tree, soros-tree, raom tree; Other: ?arapitia (Cook Islands (Miti?aro)); 'ohai (Hawai?i); tamaligi pa?epa?e (Samoa); kasia (Tonga)",Fabaceae,tree,Albizia lebbeck
English: devil-tree,Apocynaceae,tree,Alstonia macrophylla
English: mat chaff flower,Amaranthaceae,herb,Alternanthera caracasana
English: alligator weed,Amaranthaceae,herb,Alternanthera philoxeroides
English: khaki weed,Amaranthaceae,herb,Alternanthera pungens
"English: joyweed, sessile joyweed; Other: mata kura (Cook Islands (?Atiu)); fisi?i?anoa (Tonga)",Amaranthaceae,herb,Alternanthera sessilis
"English: bush greens, purple amaranth, red amaranth, red shank",Amaranthaceae,herb,Amaranthus cruentus
"English: amaranth, spleen amaranth",Amaranthaceae,herb,Amaranthus dubius
"English: green amaranth, green pigweed, hybrid amaranth, slim amaranth, smooth amaranth, smooth pigweed",Amaranthaceae,herb,Amaranthus hybridus
English: amaranth,Amaranthaceae,herb,Amaranthus interruptus
"English: edlebur, needle burr, spiny amaranth, thorny pigweed; Other: pakai kuku (Hawai?i)",Amaranthaceae,herb,Amaranthus spinosus
,Lythraceae,herb,Ammannia auriculata
"English: bird's-eye, poor-man's weatherglass, red chickweed, scarlet pimpernel, shepherd's-weatherglass",Primulaceae,herb,Anagallis arvensis
"English: gamba grass, tambuki grass",Poaceae,grass,Andropogon gayanus
"English: bush beardgrass, bushy bluestem",Poaceae,grass,Andropogon glomeratus
"English: broomsedge, yellow bluestem, whisky grass",Poaceae,grass,Andropogon virginicus
"English: moth plant, moth catcher, white bladder flower",Ascelepiadaceae,vine,Araujia sericifera
"English: Alexandra palm, king palm",Arecaceae,tree (palm),Archontophoenix alexandrae
"English: hen's eyes, Hilo holly, coral berry, Australian holly, scratchthroat",Myrsinaceae,shrub,Ardisia crenata
"English: shoebutton ardisia; Other: venevene tinit? (Cook Islands); ati popa?a, atiu (French Polynesia); togo vao (Samoa)",Myrsinaceae,shrub,Ardisia elliptica
"English: elephant creeper, Hawaiian baby woodrose , silver morning glory, woolly morning glory",Convolvulaceae,vine,Argyreia nervosa
"English: duck, swan",Aristolochiaceae,herb,Aristolochia odoratissima
"English: arthrostemma, everblooming eavender",Melastomataceae,herb,Arthrostemma ciliatum
,Poaceae,grass,Arundinaria graminea
"English: giant reed, Spanish reed, wild cane; Other: fiso palagi (Samoa); kaho folalahi (Tonga)",Poaceae,grass,Arundo donax
"English: bastard ipecac, blood flower, bloodflower milkweed, butterfly weed, false ipecac, milkweed; Other: tirika, tiare moko (Cook Islands); laulele, lauhele, nu?umela, pua ?anuhe (Hawai?i); pepetoa, vaomumu, vao fualele (Samoa); lou pepe, tu?ulapepe (Tonga)",Asclepiadaceae,herb,Asclepias curassavica
