#,Player,Team,Year,rWAR w/tm
n/a,Rogers Hornsby,Cardinals,1937,88.3
4,Lou Gehrig,Yankees,1939,118.4
,,,,
#,Player,Team,Year,rWAR w/tm
5,Willard Hershberger,Reds,1940,2.0
11,Carl Hubbell,Giants,1944,64.4
3,Babe Ruth,Yankees,1948,149.3
4,Mel Ott,Giants,1949,109.3
,,,,
#,Player,Team,Year,rWAR w/tm
5,Joe DiMaggio,Yankees,1952,83.6
33,Honus Wagner,Pirates,1956,134.5
19,Bob Feller,Indians,1957,63.3
,,,,
#,Player,Team,Year,rWAR w/tm
36,Robin Roberts,Phillies,1962,82.7
6,Stan Musial,Cardinals,1963,127.8
21,Warren Spahn,Braves,1965,89.0
32,Jim Umbricht,Astros,1965,3.4
41,Eddie Mathews,Braves,1969,92.7
7,Mickey Mantle,Yankees,1969,120.2
,,,,
#,Player,Team,Year,rWAR w/tm
5,Lou Boudreau,Indians,1970,54.6
24,Willie Mays,Giants,1972,153.0
20,Frank Robinson,Orioles,1972,35.1
20,Pie Traynor,Pirates,1972,37.1
32,Sandy Koufax,Dodgers,1972,48.7
39,Roy Campanella,Dodgers,1972,36.2
42,Jackie Robinson,Dodgers,1972,63.2
8,Yogi Berra,Yankees,1972,61.9
8,Bill Dickey,Yankees,1972,54.4
21,Roberto Clemente,Pirates,1973,83.8
14,Gil Hodges,Mets,1973,0.5
3,Harmon Killebrew,Twins,1974,61.4
16,Whitey Ford,Yankees,1974,56.8
17,Dizzy Dean,Cardinals,1974,38.6
,,,,
#,Player,Team,Year,rWAR w/tm
45,Bob Gibson,Cardinals,1975,91.8
27,Juan Marichal,Giants,1975,63.5
44,Willie McCovey,Giants,1975,60.6
3,Earl Averill,Indians,1975,45.1
4,Luke Appling,White Sox,1975,69.3
40,Don Wilson,Astros,1975,29.0
2,Nellie Fox,White Sox,1976,42.7
44,Hank Aaron,Brewers,1976,0.4
44,Hank Aaron,Braves,1977,141.6
5,Brooks Robinson,Orioles,1977,69.1
19,Jim Gilliam,Dodgers,1978,39.1
1,Richie Ashburn,Phillies,1979,52.3
15,Thurman Munson,Yankees,1979,43.4
20,Lou Brock,Cardinals,1979,37.8
,,,,
#,Player,Team,Year,rWAR w/tm
4,Duke Snider,Dodgers,1980,66.5
6,Al Kaline,Tigers,1980,91.0
8,Willie Stargell,Pirates,1982,57.5
14,Ernie Banks,Cubs,1982,64.4
9,Minnie Mi�oso,White Sox,1983,42.7
16,Ted Lyons,White Sox,1983,62.9
19,Billy Pierce,White Sox,1983,48.0
2,Charlie Gehringer,Tigers,1983,80.9
5,Hank Greenberg,Tigers,1983,53.7
35,Phil Niekro,Braves,1984,86.7
3,Bill Terry,Giants,1984,55.4
14,Ken Boyer,Cardinals,1984,53.5
4,Joe Cronin,Red Sox,1984,26.9
9,Ted Williams,Red Sox,1984,125.3
1,Pee Wee Reese,Dodgers,1984,66.7
53,Don Drysdale,Dodgers,1984,69.8
9,Roger Maris,Yankees,1984,27.9
32,Elston Howard,Yankees,1984,28.7
5,Johnny Bench,Reds,1984,71.3
11,Luis Aparicio,White Sox,1984,31.5
,,,,
#,Player,Team,Year,rWAR w/tm
22,Jim Palmer,Orioles,1985,63.1
10,Phil Rizzuto,Yankees,1985,41.8
1,Billy Martin,Yankees,1986,7.2
4,Ralph Kiner,Pirates,1987,42.0
9,Bill Mazeroski,Pirates,1987,26.9
10,Dick Howser,Royals,1987,9.8
29,Rod Carew,Twins,1987,62.7
26,Billy Williams,Cubs,1987,55.2
n/a,Christy Mathewson,Giants,1988,91.1
1,Bobby Doerr,Red Sox,1988,47.7
41,Tom Seaver,Mets,1988,76.4
6,Steve Garvey,Padres,1989,35.9
32,Steve Carlton,Phillies,1989,66.1
8,Carl Yastrzemski,Red Sox,1989,88.7
3,Harold Baines,White Sox,1989,23.3
,,,,
#,Player,Team,Year,rWAR w/tm
27,Catfish Hunter,Athletics,1990,26.8
2,Red Schoendienst,Cardinals,1990,32.8
18,Mel Harder,Indians,1990,38.3
20,Mike Schmidt,Phillies,1990,108.3
6,Tony Oliva,Twins,1991,42.4
29,Rod Carew,Angels,1991,16.4
30,Nolan Ryan,Angels,1992,41.0
34,Rollie Fingers,Brewers,1992,7.7
25,Jos� Cruz,Astros,1992,49.0
33,Mike Scott,Astros,1992,21.3
34,Rollie Fingers,Athletics,1993,11.0
10,Rusty Staub,Expos,1993,18.3
44,Reggie Jackson,Yankees,1993,16.9
3,Dale Murphy,Braves,1994,45.7
5,George Brett,Royals,1994,85.0
19,Robin Yount,Brewers,1994,76.9
14,Larry Doby,Indians,1994,41.5
,,,,
#,Player,Team,Year,rWAR w/tm
20,Frank White,Royals,1995,26.9
14,Kent Hrbek,Twins,1995,35.3
1,Ozzie Smith,Cardinals,1996,58.3
9,Enos Slaughter,Cardinals,1996,48.8
34,Nolan Ryan,Rangers,1996,13.8
34,Nolan Ryan,Astros,1996,22.9
10,Andre Dawson,Expos,1997,43.6
35,Randy Jones,Padres,1997,19.6
34,Kirby Puckett,Twins,1997,44.8
16,Hal Newhouser,Tigers,1997,56.6
23,Don Mattingly,Yankees,1997,39.8
72,Carlton Fisk,White Sox,1997,29.6
20,Frank Robinson,Reds,1998,61.5
8,Joe Morgan,Reds,1998,61.3
33,Eddie Murray,Orioles,1998,54.8
21,Bob Lemon,Indians,1998,51.0
18,Ted Kluszewski,Reds,1998,29.7
11,Jim Fregosi,Angels,1998,44.1
20,Don Sutton,Dodgers,1998,48.7
4,Paul Molitor,Brewers,1999,60.6
30,Orlando Cepeda,Giants,1999,28.9
,,,,
#,Player,Team,Year,rWAR w/tm
n/a,Ty Cobb,Tigers,2000,153.8
12,Wade Boggs,Rays,2000,0.4
24,Tony Perez,Reds,2000,43.8
23,Willie Horton,Tigers,2000,25.0
27,Carlton Fisk,Red Sox,2000,37.7
n/a,Grover Cleveland Alexander,Phillies,2001,54.5
n/a,Chuck Klein,Phillies,2001,30.9
31,Dave Winfield,Padres,2001,30.4
14,Jim Bunning,Phillies,2001,30.8
8,"Cal Ripken, Jr.",Orioles,2001,89.9
49,Larry Dierker,Astros,2002,34.0
19,Tony Gwynn,Padres,2002,68.4
8,Gary Carter,Expos,2003,52.6
49,Ron Guidry,Yankees,2003,44.4
10,Ron Santo,Cubs,2003,68.5
9,Reggie Jackson,Athletics,2004,49.2
30,Tim Raines,Expos,2004,46.5
,,,,
#,Player,Team,Year,rWAR w/tm
24,Jimmy Wynn,Astros,2005,44.4
36,Gaylord Perry,Giants,2005,36.8
43,Dennis Eckersley,Athletics,2005,15.8
23,Ryne Sandberg,Cubs,2005,62.1
42,Bruce Sutter,Cardinals,2006,7.3
11,Paul Waner,Pirates,2007,69.4
13,Dave Concepci�n,Reds,2007,33.6
5,Jeff Bagwell,Astros,2007,79.9
7,Craig Biggio,Astros,2008,66.2
6,Johnny Pesky,Red Sox,2008,30.6
31,Greg Maddux,Cubs,2009,31.7
31,Ferguson Jenkins,Cubs,2009,53.7
31,Greg Maddux,Braves,2009,61.7
14,Jim Rice,Red Sox,2009,41.5
24,Rickey Henderson,Athletics,2009,75.3
20,Monte Irvin,Giants,2010,18.1
47,Tom Glavine,Braves,2010,58.9
,,,,
#,Player,Team,Year,rWAR w/tm
20,Luis Gonzalez,Diamondbacks,2010,25.6
35,Frank Thomas,White Sox,2010,70.6
28,Bert Blyleven,Twins,2011,44.8
