Diva,Emily,Fell Name,GPS reference,Guide,Height (Ft),Height (m),Justine,Number,Sophie,Steve
,,,,,,,,,,
,,Allen Crags,NY 23668 08529?,,2575,785,,1,,
,,Angletarn Pikes,NY 41333 14830,,1860,567,,2,,
,,Ard Crags,NY 20696 19766,,1906,581,,3,,
,,Armboth Fell,NY 29684 15965,,1572,479,,4,,
,,Arnison Crag,NY 39359 14968,The Eastern Fells,1421,433,,5,,
,,Arthur's Pike,NY 46076 20677,,1745,532,,6,,
,,Bakestall,NY 26647 30740,,2208,673,,7,,
,,Bannerdale Crags,NY 33616 29081,,2241,683,,8,,
,,Barf,NY 21467 26740,,1535,468,,9,,
,,Barrow,NY 22709 21822,,1493,455,,10,,
,,Base Brown,NY 22516 11461,,2119,646,,11,,
,,Beda Fell,NY 42895 17159,,1670,509,,12,,
,,Binsey,NY 22513 35525,,1467,447,,13,,
,,Birkhouse Moor,NY 36344 15974,The Eastern Fells,2356,718,,14,,
,,Birks,NY 38177 14486,The Eastern Fells,2041,622,,15,,
,,Black Fell,NY 34023 01591,,1060,323,,16,,
,,Blake Fell?,NY 11043 19684,,1880,573,,17,,
,,Blea Rigg,NY 30165 07835,,1775,541,,18,,
,,Bleaberry Fell,NY 28565 19574,,1936,590,,19,,
,,Blencathra,NY 32345 27712,,2848,868,,20,,
,,Bonscale Pike,NY 45348 20086,,1719,524,,21,,
,,Bowfell,NY 24470 06443,,2959,902,,22,,
,,Bowscale Fell,NY 33343 30541,,2303,702,,23,,
,,Brae Fell,NY 28878 35159,,1923,586,,24,,
,,Brandreth,NY 21489 11928,The Western Fells,2346,715,,25,,
,,Branstree,NY 47801 09975,,2339,713,,26,,
,,Brim Fell,SD 27074 98556,,2612,796,,27,,
,,Brock Crags,NY 41665 13662,,1841,561,,28,,
,,Broom Fell?,NY 19444 27190,,1677,511,,29,,
,,Buckbarrow,NY 13572 06126,,1378,420,,30,,
,,Burnbank Fell,NY 10999 20950,,1558,475,,31,,
,,Calf Crag,NY 30162 10410,,1762,537,,32,,
,,Carl Side,NY 25497 28086,,2448,746,,33,,
,,Carrock Fell,NY 34176 33638,,2165,660,,34,,
,,Castle Crag,NY 24934 15937,,951,290,,35,,
,,Catbells,NY 24406 19852,,1480,451,,36,,
,,Catstycam,NY 34811 15823 ?,The Eastern Fells,2920,890,,37,,
,,Caudale Moor,NY 41867 09997,,2503,763,,38,,
,,Causey Pike,NY 21876 20851,,2090,637,,39,,
,,Caw Fell,NY 13198 11001,,2264,690,,40,,
,,Clough Head,NY 33393 22541,The Eastern Fells,2382,726,,41,,
,,Cold Pike,NY 26289 03613 ?,,2300,701,,42,,
,,Coniston Old Man,SD 27237 97815,,2635,803,,43,,
,,Crag Fell,NY 09729 14384,,1716,523,,44,,
,,Crinkle Crags,NY 24863 04869 ?,,2818,859,,45,,
,,Dale Head,NY 22301 15324,,2470,753,,46,,
,,Dodd,NY 24368 27225,,1647,502,,47,,
,,Dollywagon Pike,NY 34629 13063,The Eastern Fells,2815,858,,48,,
,,Dove Crag,NY 37454 10437,The Eastern Fells,2598,792,,49,,
,,Dow Crag,SD 26254 97794,,2552,778,,50,,
,,Eagle Crag,NY 27535 12098,,1706,520,,51,,
,,Eel Crag (Crag Hill),NY 19267 20364,,2753,839,,52,,
,,Esk Pike,NY 23670 07529,,2904,885,,53,,
,,Fairfield,NY 35861 11722,The Eastern Fells,2864,873,,54,,
,,Fellbarrow,NY 13219 24245,,1365,416,,55,,
,,Fleetwith Pike,NY 20587 14167,,2126,648,,56,,
,,Froswick,NY 43519 08518,,2362,720,,57,,
,,Gavel Fell,NY 11699 18386,,1726,526,,58,,
,,Gibson Knott,NY 31845 09923,,1378,420,,59,,
,,Glaramara,NY 24723 10565,,2569,783,,60,,
,,Glenridding Dodd,NY 38048 17558,The Eastern Fells,1450,442,,61,,
,,Gowbarrow Fell,NY 40764 21817,The Eastern Fells,1578,481,,62,,
,,Grange Fell,NY 26470 16274,,1345,410,,63,,
,,Grasmoor,NY 17481 20351,,2795,852,,64,,
,,Gray Crag,NY 42675 11882,,2293,699,,65,,
,,Graystones,NY 17758 26494,,1496,456,,66,,
,,Great Borne,NY 12398 16379,The Western Fells,2021,616,,67,,
,,Great Calva,NY 29089 31188,,2264,690,,68,,
,,Great Carrs,NY 27045 00880,,2559,780,,69,,
,,Great Cockup,NY 27336 33311,,1726,526,,70,,
,,Great Crag,NY 27002 14682,,1444,440,,71,,
,,Great Dodd,NY 34193 20556,The Eastern Fells,2812,857,,72,,
,,Great End,NY 22670 08385,,2986,910,,73,,
,,Great Gable,NY 21102 10317,,2949,899,,74,,
,,Great Mell Fell,NY 39682 25363,The Eastern Fells,1762,537,,75,,
,,Great Rigg,NY 35600 10500,The Eastern Fells,2513,766,,76,,
,,Great Scafell,NY 29135 33898,,2136,651,,77,,
,,Green Crag,SD 20025 98274,,1604,489,,78,,
,,Green Gable,NY 21472 10716,,2628,801,,79,,
,,Grey Crag,NY 49721 07185,,2093,638,,80,,
,,Grey Friar,NY 26009 00359,,2526,770,,81,,
,,Grey Knotts,NY 21731 12567,,2287,697,,82,,
,,Grike,NY 08495 14076,,1601,488,,83,,
,,Grisedale Pike,NY 19839 22544,,2595,791,,84,,
,,Hallin Fell,NY 43303 19817,,1273,388,,85,,
,,Hard Knott,NY 23193 02369,,1801,549,,86,,
,,Harrison Stickle,NY 28180 07393,,2415,736,,87,,
,,Hart Crag,NY 36907 11208,The Eastern Fells,2697,822,,88,,
,,Hart Side,NY 35891 19725,The Eastern Fells,2480,756,,89,,
,,Harter Fell (Eskdale),SD 21881 99718,,2142,653,,90,,
,,Harter Fell (Mardale),NY 45970 09332,,2552,778,,91,,
,,Hartsop Above How,NY 38315 12005,,1903,580,,92,,
,,Hartsop Dodd,NY 412 118,The Eastern Fells,2028,618,,93,,
,,Haycock,NY 14477 10722,,2615,797,,94,,
,,Haystacks,NY 19338 13206,,1959,597,,95,,
,,Helm Crag,NY 32630 09353,,1329,405,,96,,
,,Helvellyn,NY 34167 15158,The Eastern Fells,3117,950,,97,,
,,Hen Comb,NY 13213 18119,,1670,509,,98,,
,,Heron Pike,NY 35599 08300,The Eastern Fells,2008,612,,99,,
,,High Crag,NY 18060 14017,The Western Fells,2441,744,,100,,
,,High Hartsop Dodd,NY 39357 10766,The Eastern Fells,1703,519,,101,,
,,High Pike (Caldbeck),NY 31873 35002,,2159,658,,102,,
,,High Pike (Scandale),NY 37443 08830,The Eastern Fells,2152,656,,103,,
,,High Raise (Langdale),NY 28074 09536,,2500,762,,104,,
,,High Raise (Martindale),NY 44826 13453,,2631,802,,105,,
,,High Rigg,NY 30860 21994,,1161,354,,106,,
,,High Seat,NY 28709 18049,,1995,608,,107,,
,,High Spy,NY 23413 16234,,2142,653,,108,,
,,High Stile,NY 16748 14783,,2648,807,,109,,
,,High Street,NY 44078 11045,,2717,828,,110,,
,,High Tove,NY 28922 16512,,1690,515,,111,,
,,Hindscarth,NY 21565 16517,,2385,727,,112,,
,,Holme Fell,NY 31528 00654,,1040,317,,113,,
,,Hopegill Head,NY 18566 22165,,2526,770,,114,,
,,Ill Bell,NY 43668 07725,,2484,757,,115,,
,,Illgill Head,NY 16542 04800,,1998,609,,116,,
,,Kentmere Pike,NY 46565 07792,,2395,730,,117,,
,,Kidsty Pike,NY 44738 12577,,2559,780,,118,,
,,Kirk Fell,NY 19498 10485,The Western Fells,2631,802,,119,,
,,Knott,NY 29622 32985,,2329,710,,120,,
,,Knott Rigg,NY 19742 18868,,1824,556,,121,,
,,"Knott, The",NY 43709 12682,,2425,739,,122,,
,,Lank Rigg,NY 09164 11955,,1775,541,,123,,
,,Latrigg,NY 27886 24685,,1207,368,,124,,
,,Ling Fell,NY 17959 28590,,1224,373,,125,,
,,Lingmell,NY 20925 08144,,2625,800,,126,,
,,Lingmoor Fell,NY 30277 04605,,1539,469,,127,,
,,Little Hart Crag,NY 38734 10028,The Eastern Fells,2090,637,,128,,
,,Little Mell Fell,NY 42318 24027,The Eastern Fells,1657,505,,129,,
,,Loadpot Hill,NY 45689 18129,,2201,671,,130,,
,,Loft Crag,NY 27743 07135,,2231,680,,131,,
,,Long Side,NY 24881 28441,,2408,734,,132,,
,,Longlands fell,NY 27590 35402,,1585,483,,133,,
,,Lonscale Fell,NY 28544 27171,,2346,715,,134,,
,,Lord's Seat,NY 20437 26558,,1811,552,,135,,
,,Loughrigg Fell,NY 34697 05139,,1099,335,,136,,
,,Low Fell,NY 13730 22618,,1404,428,,137,,
,,Low Pike,NY 37354 07832,The Eastern Fells,1667,508,,138,,
,,Maiden Moor,NY 23688 17115,,1890,576,,139,,
,,Mardall Ill Bell,NY 44760 10118,,2493,760,,140,,
,,Meal Fell,NY 28259 33711,,1804,550,,141,,
