#,Durchschnitt,Reviews,System,Titel
1,6,15,NES,Super Mario Bros. 3
2,6,11,Nintendo 64,Super Smash Bros.
3,6,11,Nintendo GameCube,Super Smash Bros. Melee
4,6,11,Nintendo Wii,The Legend Of Zelda: Twilight Princess
5,6,10,Nintendo Wii,New Super Mario Bros. Wii
6,6,10,PC,Mafia
7,6,9,Gameboy,The Legend Of Zelda - Link's Awakening
8,6,8,Nintendo Wii,Super Smash Bros. Brawl
9,6,7,PC,The Secret Of Monkey Island
10,6,7,PC,Worms Armageddon
11,6,7,Super NES,The Legend Of Zelda - A Link To The Past
12,6,6,PC,The Elder Scrolls III: Morrowind
13,6,6,Gameboy Advance,Golden Sun
14,6,6,Gameboy Advance,The Legend of Zelda: A Link to the Past
15,6,6,Nintendo Wii,Super Mario Galaxy 2
16,6,5,Nintendo Wii,Wii Fit
17,6,5,Nintendo GameCube,Paper Mario 2
18,6,5,Gameboy,Donkey Kong Land 2
19,6,5,Sony Playstation,Crash Team Racing
20,6,5,Sony Playstation 2,FIFA 09
21,6,4,Sony Playstation 2,Pro Evolution Soccer 6
22,6,4,Super NES,Super Mario All-Stars + Super Mario World
23,6,4,Sony Playstation,Final Fantasy VII
24,6,4,PC,Command & Conquer: Der Tiberiumkonflikt
25,6,4,Amiga,Monkey Island 2: LeChuck's Revenge
26,6,4,Amiga,Speedball II: Brutal Deluxe
27,6,4,Gameboy,Wario Land 2
28,6,4,Nintendo 64,Banjo-Tooie
29,6,4,Nintendo 64,Pok?mon Stadium 2
30,6,4,Nintendo 64,GoldenEye 007
31,6,4,Nintendo 64,Mario Party
32,6,3,Nintendo 64,Paper Mario
33,6,3,Nintendo 64,Perfect Dark
34,6,3,PC,Anstoss 3
35,6,3,Nintendo 64,Conker's Bad Fur Day
36,6,3,Amiga,Street Fighter II
37,6,3,Amiga,The Secret of Monkey Island
38,6,3,Amiga,Lemmings
39,6,3,PC,MS Flight Simulator 2004 Das Jahrhundert der Luftfahrt
40,6,3,Sony Playstation,Resident Evil 3: Nemesis
41,6,3,Sony Playstation 2,Beyond Good & Evil
42,6,3,Sony Playstation 2,Die Sims 2
43,6,3,Sony Playstation,Crash Bandicoot
44,6,3,PC,Tomb Raider II: Starring Lara Croft
45,6,3,Xbox,FIFA 07
46,6,3,Sony PSP,Monster Hunter Freedom
47,6,3,Sony Playstation 3,Call Of Duty: Modern Warfare 2
48,6,3,Sony Playstation 3,Colin McRae: DIRT
49,6,3,Xbox 360,Grand Theft Auto IV
50,6,3,Sony Playstation 2,Pro Evolution Soccer 4
51,6,3,Sony Playstation 2,Soul Calibur II
52,6,3,Sony Playstation 2,Spyro - A Hero's Tail
53,6,3,Sony Playstation 2,WRC 3
54,6,3,Sony Playstation 2,Gran Turismo 3 A-spec
55,5.94,17,Super NES,Super Mario World
56,5.91,12,Super NES,Super Mario All-Stars
57,5.88,9,Gameboy Color,Pok?mon - Crystal Edition
58,5.87,8,PC,Age of Empires II
59,5.87,8,Sony Playstation 2,Final Fantasy X
60,5.85,7,Sony Playstation 2,Tomb Raider 7: Legend
61,5.85,7,Sony Playstation 2,Resident Evil 4
62,5.85,7,Nintendo GameCube,The Legend of Zelda: Twilight Princess
63,5.84,19,NES,Super Mario Bros.
64,5.83,18,Nintendo Wii,Mario Kart Wii
65,5.83,6,Nintendo GameCube,The Legend of Zelda: The Wind Waker
66,5.83,6,Nintendo Wii,Super Paper Mario
67,5.83,6,Gameboy Advance,The Legend of Zelda: The Minish Cap
68,5.8,10,Super NES,Super Mario World 2: Yoshi's Island
69,5.8,5,Sony Playstation 2,SingStar '80s
70,5.8,5,Sony Playstation 2,Tekken Tag Tournament
71,5.8,5,Gameboy Color,The Legend Of Zelda - Oracle Of Seasons
72,5.8,5,Gameboy Advance,Yoshi's Island: Super Mario Advance 3
73,5.8,5,Amiga,Sim City
74,5.8,5,PC,Age Of Empires III
75,5.8,5,Nintendo DS,The Legend of Zelda: Phantom Hourglass
76,5.8,5,Sony Playstation 2,Burnout 3 - Takedown
77,5.8,5,PC,Grand Theft Auto III
78,5.77,9,Super NES,Donkey Kong Country
79,5.77,31,Gameboy,Super Mario Land
80,5.76,17,Nintendo 64,Super Mario 64
81,5.75,29,Nintendo 64,Mario Kart 64
82,5.75,20,Super NES,Super Mario Kart
83,5.75,8,PC,World Of Warcraft: The Burning Crusade - Addon
84,5.75,4,PC,Tomb Raider III: Adventures Of Lara Croft
85,5.75,4,PC,Crysis
86,5.75,4,PC,Civilization IV
87,5.75,4,PC,Command & Conquer - Alarmstufe Rot
88,5.75,4,PC,Diablo 2
89,5.75,4,Nintendo 64,Diddy Kong Racing
90,5.75,4,Gameboy Color,The Legend Of Zelda - Oracle Of Ages
91,5.75,4,Gameboy Advance,Golden Sun: Die vergessene Epoche
92,5.75,4,Sony Playstation 2,Tomb Raider: Anniversary
93,5.71,7,Nintendo DS,Pok?mon Diamant-Edition
94,5.7,17,Nintendo Wii,Super Mario Galaxy
95,5.68,25,Sony Playstation 2,Grand Theft Auto: San Andreas
96,5.66,6,Super NES,Donkey Kong Country 2: Diddy's Kong Quest
97,5.66,6,Sony PSP,Grand Theft Auto: Liberty City Stories
98,5.66,6,Gameboy Advance,Pok?mon Smaragd
99,5.66,6,Gameboy Advance,Super Mario Advance
100,5.66,6,Gameboy Advance,Super Mario World: Super Mario Advance 2
101,5.66,6,Sony Playstation,Crash Bandicoot 2: Cortex Strikes Back
102,5.66,3,Sony Playstation,Crash Bash
103,5.66,3,PC,Tomb Raider IV: Die letzte Offenbarung
104,5.66,3,Sony Playstation 2,Dragonball Z Budokai 2
105,5.66,3,Sony Playstation 2,EyeToy Play 3
106,5.66,3,Sony Playstation 2,Fahrenheit
107,5.66,3,Sony Playstation,Spyro 3: Year of the Dragon
108,5.66,3,Sony Playstation,Tekken 3
109,5.66,3,PC,Die Siedler 3
110,5.66,3,PC,Baphomets Fluch
111,5.66,3,PC,FIFA 08
112,5.66,3,PC,Duke Nukem 3D
113,5.66,3,PC,Mad TV
114,5.66,3,Gameboy Advance,Dragonball Z: Das Erbe von Goku II
115,5.66,3,Gameboy,Kirby's Dream Land 2
116,5.66,3,Amiga,Mad TV
117,5.66,3,Amiga,Anstoss
118,5.66,3,Amiga,Civilization
119,5.66,3,Amiga,Winter Games
120,5.66,3,Nintendo Wii,Resident Evil 4: Wii Edition -uncut-
121,5.66,3,Nintendo Wii,Boogie
122,5.66,3,Sony Playstation 3,Tekken 6
123,5.66,3,Sony Playstation 2,Pro Evolution Soccer 2008
