GNI,Income,Name,Population,Region
517,Low income,Afghanistan,"30,605,401",South Asia
"4,000",Upper middle income,Albania,"3,169,087",Eastern Europe & Central Asia
"4,460",Upper middle income,Algeria,"35,422,589",Middle East & North Africa
"3,960",Lower middle income,Angola,"18,992,707",Sub-Saharan Africa
"10,610",Upper middle income,Antigua and Barbuda,"88,550",Latin America & Caribbean
"8,450",Upper middle income,Argentina,"40,665,732",Latin America & Caribbean
"3,090",Lower middle income,Armenia,"3,090,379",Eastern Europe & Central Asia
"43,740",High income,Australia,"22,327,200",OECD high income
"46,710",High income,Austria,"8,381,780",OECD high income
"5,180",Upper middle income,Azerbaijan,"8,883,200",Eastern Europe & Central Asia
"21,879",High income,"Bahamas, The","345,736",Latin America & Caribbean
"20,475",High income,Bahrain,"807,131",Middle East & North Africa
640,Low income,Bangladesh,"164,425,491",South Asia
"6,030",Upper middle income,Belarus,"9,645,000",Eastern Europe & Central Asia
"45,420",High income,Belgium,"10,866,560",OECD high income
"3,740",Lower middle income,Belize,"344,700",Latin America & Caribbean
750,Low income,Benin,"9,211,741",Sub-Saharan Africa
"1,920",Lower middle income,Bhutan,"708,484",South Asia
"1,790",Lower middle income,Bolivia,"10,030,832",Latin America & Caribbean
"4,790",Upper middle income,Bosnia and Herzegovina,"3,759,633",Eastern Europe & Central Asia
"6,890",Upper middle income,Botswana,"1,977,569",Sub-Saharan Africa
"9,390",Upper middle income,Brazil,"194,946,470",Latin America & Caribbean
"31,238",High income,Brunei Darussalam,"407,045",East Asia & Pacific
"6,240",Upper middle income,Bulgaria,"7,561,910",Eastern Europe & Central Asia
550,Low income,Burkina Faso,"16,286,706",Sub-Saharan Africa
160,Low income,Burundi,"8,518,862",Sub-Saharan Africa
760,Low income,Cambodia,"14,138,255",East Asia & Pacific
"1,160",Lower middle income,Cameroon,"19,958,351",Sub-Saharan Africa
"46,215",High income,Canada,"34,173,900",OECD high income
"3,160",Lower middle income,Cape Verde,"512,582",Sub-Saharan Africa
460,Low income,Central African Republic,"4,505,945",Sub-Saharan Africa
600,Low income,Chad,"11,506,130",Sub-Saharan Africa
"9,940",Upper middle income,Chile,"17,134,708",Latin America & Caribbean
"4,260",Upper middle income,China,"1,338,300,000",East Asia & Pacific
"5,510",Upper middle income,Colombia,"46,300,196",Latin America & Caribbean
820,Low income,Comoros,"675,000",Sub-Saharan Africa
180,Low income,"Congo, Dem. Rep.","67,827,495",Sub-Saharan Africa
"2,310",Lower middle income,"Congo, Rep.","3,758,678",Sub-Saharan Africa
"6,580",Upper middle income,Costa Rica,"4,639,827",Latin America & Caribbean
"1,070",Lower middle income,C�te d'Ivoire,"21,570,746",Sub-Saharan Africa
"13,760",High income,Croatia,"4,430,003",Eastern Europe & Central Asia
"28,237",High income,Cyprus,"879,723",Eastern Europe & Central Asia
"17,870",High income,Czech Republic,"10,534,920",OECD high income
"58,980",High income,Denmark,"5,565,020",OECD high income
"1,383",Lower middle income,Djibouti,"879,053",Middle East & North Africa
"4,960",Upper middle income,Dominica,"74,000",Latin America & Caribbean
"4,860",Upper middle income,Dominican Republic,"10,225,482",Latin America & Caribbean
