Common name English name,Nom commun Nom fran�ais,Number of seedlots per species Nombre de lots le semences par essence,Scientific name/Nom scientifique
,,,
,,,
European silver fir,sapin blanc,2,Abies alba
amabilis fir,sapin gracieux,9,Abies amabilis
balsam fir,sapin baumier,56,Abies balsamea
Fraser fir,sapin de Fraser,1,Abies fraseri
grand fir,sapin grandissime,14,Abies grandis
subalpine fir,sapin subalpin,16,Abies lasiocarpa
Nordmann fir,sapin de Nordmann,1,Abies nordmanniana
Manitoba maple,?rable ? feuilles compos?es,1,Acer negundo
striped maple,?rable de Pennsylvanie,2,Acer pensylvanicum
Norway maple,?rable de Norv?ge,2,Acer platanoides
sycamore maple,?rable sycomore,1,Acer pseudoplanatus
red maple,?rable rouge,40,Acer rubrum
sugar maple,?rable ? sucre,6,Acer saccharum
Italian alder,aulne d'Italie,3,Alnus cordata
,,1,Alnus cremastogyne
,,1,Alnus firma
,,5,Alnus formosana
European black alder,aulne glutineux,10,Alnus glutinosa
,,2,Alnus hirsuta
,1,,Alnus hirsuta turcz. var. microphylla nakai
grey alder,aulne blanc,3,Alnus incana
speckled alder,aulne rugueux,47,Alnus incana ssp. rugosa
mountain alder,aulne ? feuilles minces,13,Alnus incana ssp. tenuifolia
Japanese alder,aulne du Japon,1,Alnus japonica
,,1,Alnus jorullensis
red alder,aulne rouge,41,Alnus rubra
European green alder,,3,Alnus viridis
green alder,aulne crisp?,41,Alnus viridis ssp. crispa
Sitka alder,aulne de Sitka,21,Alnus viridis ssp. sinuata
arbutus,arbousier d'Am?rique,1,Arbutus menziesii
pawpaw,asiminier trilob?,2,Asimina triloba
,,3,Austrocedrus chilensis
yellow birch,bouleau jaune,42,Betula alleghaniensis
mountain paper birch,bouleau ? feuilles cord?es,1,Betula cordifolia
,,6,Betula costata
,,9,Betula davurica
,1,,Betula kirghisorum caucasus
cherry birch,bouleau flexible,2,Betula lenta
water birch,bouleau fontinal,1,Betula occidentalis
white birch,bouleau ? papier,23,Betula papyrifera
European white birch,bouleau verruqueux,18,Betula pendula
,,1,Betula pendula var. carelica
,,2,Betula platyphylla
,7,,Betula platyphylla sukatchev var. japonica
grey birch,bouleau gris,4,Betula populifolia
downey birch,,9,Betula pubescens
,,1,Betula raddeana caucasus
,,8,Betula schmidtii
European white birch,bouleau verrucosa,1,Betula verrucosa
Siberean pea-tree,caragana arborescent,2,Caragana arborescens
blue-beech,charme de Caroline,3,Carpinus caroliniana
bitternut hickory,caryer cordiforme,1,Carya cordiformis
red hickory,caryer glabre,2,Carya glabra var. odorata
sweet pignut,,1,Carya ovalis
shagbark hickory,caryer ovale,2,Carya ovata
,,1,Chacaya trinervis
Lawson-cypress,chamaecyparis de Lawson,1,Chamaecyparis lawsoniana
yellow-cedar,chamaecyparis jaune,2,Chamaecyparis nootkatensis
Eastern flowering dogwood,cornouiller fleuri,3,Cornus florida
Western flowering dogwood,cornouiller de Nuttall,1,Cornus nuttallii
red osier dogwood,cornouiller stolonif?re,1,Cornus stolonifera
black hawthorn,aub?pine noire,1,Crataegus douglasii
common hawthorn,aub?pine monogyne,2,Crataegus monogyna
American beech,h?tre ? grandes feuilles,14,Fagus grandifolia
