Company,Founders,Industry,Rank,Revenue Per Second,Revenue Per Year
Wal-Mart Stores,Sam Walton,General Merchandisers,1,"$12,011.64","$378,799,000,000"
Exxon Mobil,John D. Rockefeller,Petroleum Refining,2,"$11,822.17","$372,824,000,000"
Royal Dutch Shell,Jean Baptiste August Kessler,Petroleum Refining,3,"$11,281.77","$355,782,000,000"
BP,T. Boone Pickens,Petroleum Refining,4,"$9,241.44","$291,438,000,000"
Toyota Motor,Kiichiro Toyoda,Motor Vehicles and Parts,5,"$7,299.63","$230,201,000,000"
Chevron,Lyman Stewar,Petroleum Refining,6,"$6,683.89","$210,783,000,000"
ING Group,Jan Hommen,Banks: Commercial and Savings,7,"$6,390.03","$201,516,000,000"
Total,Ernest Mercier,Petroleum Refining,8,"$5,938.61","$187,280,000,000"
General Motors,William C. Durant,Motor Vehicles and Parts,9,"$5,782.19","$182,347,000,000"
ConocoPhillips,Frank and L.E. Phillips,Petroleum Refining,10,"$5,662.04","$178,558,000,000"
Daimler,Gottlieb Daimler.,Motor Vehicles and Parts,11,"$5,617.93","$177,167,000,000"
General Electric,Thomas Edison,Diversified Financials,12,"$5,601.73","$176,656,000,000"
Ford Motor,Henry Ford,Motor Vehicles and Parts,13,"$5,468.92","$172,468,000,000"
Fortis,Kira Bruno,Banks: Commercial and Savings,14,"$5,228.22","$164,877,000,000"
AXA,Claude B?b?ar,"Insurance: Life, Health (stock)",15,"$5,161.15","$162,762,000,000"
Sinopec,Su Shulin,Petroleum Refining,16,"$5,050.10","$159,260,000,000"
Citigroup,Bill Smith,Banks: Commercial and Savings,17,"$5,049.12","$159,229,000,000"
Volkswagen,Ferdinand Porsche,Motor Vehicles and Parts,18,"$4,726.47","$149,054,000,000"
Dexia Group,Michael Wilson,Banks: Commercial and Savings,19,"$4,681.89","$147,648,000,000"
HSBC Holdings,Thomas Sutherland,Banks: Commercial and Savings,20,"$4,645.49","$146,500,000,000"
BNP Paribas,Louis Pasteu,Banks: Commercial and Savings,21,"$4,462.39","$140,726,000,000"
Allianz,Henning Schulte-Noelle,Insurance: Property and Casualty,22,"$4,458.97","$140,618,000,000"
Cr?dit Agricole,Henri Germain,Banks: Commercial and Savings,23,"$4,380.87","$138,155,000,000"
State Grid,Liu Zhenya,Utilities,24,"$4,213.76","$132,885,000,000"
China National Petroleum,Chinese National Government,Petroleum Refining,25,"$4,115.87","$129,798,000,000"
Deutsche Bank,Georg Siemens,Banks: Commercial and Savings,26,"$3,889.02","$122,644,000,000"
ENI,Tully Ryan,Petroleum Refining,27,"$3,823.09","$120,565,000,000"
Bank of America Corp.,Madeo Giannini,Banks: Commercial and Savings,28,"$3,779.49","$119,190,000,000"
AT&T,Alexander Graham Bell,Telecommunications,29,"$3,771.18","$118,928,000,000"
Berkshire Hathaway,Oliver Chace,Insurance: Property and Casualty (stock),30,"$3,749.52","$118,245,000,000"
