Alphabetic code,Country,Currency,Numeric code,Subdivision,Symbol
AFA,Afghanistan,Afghani,4,100 puls,Af
ALL,Albania,Lek,8,100 qindarka (qintars),L
DZD,Algeria,Algerian Dinar,12,100 centimes,DA
USD,American Samoa,US Dollar,840,100 cents,$
EUR,Andorra,Euro,978,100 euro-cents,�
AON,Angola,New Kwanza,24,100 lwei,Kz
XCD,Anguilla,East Caribbean Dollar,951,100 cents,EC$
,Antarctica,No universal currency,,,
XCD,Antigua and Barbuda,East Caribbean Dollar,951,100 cents,EC$
ARS,Argentina,Argentine Peso,32,100 centavos,$
AMD,Armenia,Armenian Dram,51,100 luma,
AWG,Aruba,Aruban Guilder,533,100 cents,Af.
AUD,Australia,Australian Dollar,36,100 cents,A$
EUR,Austria,Euro,978,100 euro-cents,�
AZM,Azerbaijan,Azerbaijanian Manat,31,100 gopik,
BSD,Bahamas,Bahamian Dollar,44,100 cents,B$
BHD,Bahrain,Bahraini Dinar,48,1000 fils,BD
BDT,Bangladesh,Taka,50,100 paisa (poisha),Tk
BBD,Barbados,Barbados Dollar,52,100 cents,Bds$
BYR,Belarus,Belarussian Ruble,974,,BR
EUR,Belgium,Euro,978,100 euro-cents,�
BZD,Belize,Belize Dollar,84,100 cents,BZ$
XOF,Benin,CFA Franc BCEAO,952,100 centimes,CFAF
BMD,Bermuda,Bermudian Dollar,60,100 cents,Bd$
BTN,Bhutan,Ngultrum,64,100 chetrum,Nu
INR,Bhutan (other),Indian Rupee,356,100 paise,Rs
BAM,Bosnia and Herzegovina,Convertible Marks,977,100 fennig,KM
BWP,Botswana,Pula,72,100 thebe,P
NOK,Bouvet Island,Norwegian Krone,578,100 �re,NKr
BRL,Brazil,Brazilian Real,986,100 centavos,R$
GBP,British Indian Ocean Territory,Pound Sterling,826,100 pence,�
USD,British Indian Ocean Territory (other),US Dollar,840,100 cents,$
BND,Brunei Darussalam,Brunei Dollar,96,100 sen (a.k.a. 100 cents),B$
BGL,Bulgaria,Lev,100,100 stotinki,Lv
XOF,Burkina Faso,CFA Franc BCEAO,952,100 centimes,CFAF
BIF,Burundi,Burundi Franc,108,100 centimes,FBu
