Family,Full Name,Name,Reign,Spouse
Son of Theodosius the Great,,Arcadius,395-408,
Son of Arcadius,,Theodosius II,408-50,Eudoxia
,,Marcian,450-7,
,,Leo I,457-74,
Grandson of Leo II Son of Zeno + Ariadne,,Leo II,474,
Father of Leo II,,Zeno,474-491,"Ariadne, dau Leo I"
,,Anastasius,491-518,
,,Glycerinus,,
,,Justin I,518-27,
Nephew of Justin,Flavius Petrus Sabbatius Justinianus,Justinian I,527-65,Theodora
Nephew of Justinian II,,Justin II,-578,"Sophia, neice of Theodora"
,,,,
,,Maurice,-602,
,,Phocas,602-10,
,,Heraclius,610-41,
,,Constantine III,-641,
son of Constantine III,,Constans II,641-88,
,,Constantine IV,c 673,
,,Justinian II,685-695 dep,
deposed Justinian II,,Leontius,695,
deposed Leontius,,Tiberius II,697/8,
,,Justinian II restored,704/5-11,Theodora (a Khazar)
killed Justinian II,,Philippicus (Bardan),711-3,
,,Anastasius II,713-6,
,,Theodosius II,716-7 abd,
,,Leo III the Isaurian,717-,
,,Constantine V Copronymus,720-75 co-emp,
son of Constantine V,,Leo IV,775-,Irene
son of Leo IV + Irene,,Constantine VI,780-97dep,
deposed Constantine VI,,Irene,797,
,,Nicephorus I,802-11,
,,Michael I Rangabe,811-13,
,,Leo V the Armenian,813-20,
,,Michael II,820-9,
son of Michael II,,Theophilus,829-42,Theodora
,,Michael III,842-67,
