Country,Museum,Nr.,Score *
USA,Museum of Modern Art (MoMA),1,11
USA,Metropolitan Museum of Art,2,14
France,Mus?e du Louvre,3,34
USA,National Gallery of Art,4,35
United Kingdom,Victoria and Albert Museum,5,37
USA,J. Paul Getty Museum,6,40
Germany,Deutsches Historisches Museum,7,50
USA,Los Angeles County Museum of Art (LACMA),8,51
Russia,State Hermitage Museum,9,53
USA,Brooklyn Museum of Art,10,58
United Kingdom,National Maritime Museum,11,59
USA,Museum of Fine Arts (MFA),12,61
United Kingdom,National Gallery,13,67
Netherlands,Rijksmuseum,14,69
Spain,Museo Nacional del Prado,15,72
United Kingdom,Royal Academy of Arts,16,74
United Kingdom,Tate Britain,17,76
New Zealand,Museum of New Zealand Te Papa Tongarewa,18,83
USA,Philadelphia Museum of Art,19,87
USA,Minneapolis Institute of Arts,20,88
USA,Indianapolis Museum of Art,21,89
United Kingdom,Ashmolean Museum,22,94
USA,Detroit Institute of Arts (DIA),23,108
Spain,Museo Thyssen-Bornemisza,24,111
USA,Seattle Art Museum,25,114
USA,Saint Louis Art Museum (SLAM),26,123
Canada,Art Gallery of Ontario (AGO),27,133
United Kingdom,Manchester Art Gallery,28,141
USA,Corcoran Gallery of Art,29,141
United Kingdom,National Gallery of Scotland /National Portrait Gallery,30,145
United Kingdom,Royal Collection,31,149
Japan,National Museum of Western Art,32,150
USA,High Museum of Art,33,156
USA,Jewish Museum,34,161
USA,Norton Simon Museum,35,165
Austria,Kunsthistorisches Museum (KHM),36,168
USA,Frick Collection,37,168
USA,Isabella Stewart Gardner Museum,38,175
USA,"Museum of Fine Arts, Houston",39,178
USA,Denver Art Museum,40,183
United Kingdom,National Museum of Wales,41,184
Spain,Palacio Real,42,186
Finland,Sinebrychoffin Taidemuseo,43,187
Spain,Patrimonio Nacional,44,189
United Kingdom,Wallace Collection,45,190
Denmark,Statens Museum for Kunst,46,194
Poland,Muzeum Ksiazat Lubomirskich,47,197
USA,Milwaukee Art Museum,48,203
USA,Walters Art Museum,49,209
USA,Carnegie Museum of Art,50,218
USA,Worcester Art Museum,51,225
Germany,St?del Museum,52,227
USA,Cleveland Museum of Art,53,234
Germany,Hamburger Kunsthalle,54,237
Germany,Klassik Stiftung Weimar,55,244
USA,Portland Art Museum,56,249
USA,Nelson-Atkins Museum of Art,57,253
USA,Albright-Knox Art Gallery,58,254
