Embargo Period in Months,Journal Name,Optional Fee for Immediate Access,PMC Deposit Policy,Publisher Link to NIH Policy Page or Related Policy,Who Deposits to PMC
12,ACADEMIC EMERGENCY MEDICINE,Yes,Yes,WILEY-BLACKWELL,Publisher Only
6,AMERICAN JOURNAL OF GASTROENTEROLOGY,Yes,Yes,NATURE PUBLISHING GROUP,Publisher OR Author
12,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,Yes,Yes,AMERICAN PHYSIOLOGICAL SOCIETY,Publisher Only
No Specific Information,AMERICAN SURGEON,No Specific Information,No Specific Policy,SOUTHEASTERN SURGICAL CONGRESS,No Specific Information
12,ANALYTICAL CHEMISTRY,Yes,Yes,AMERICAN CHEMICAL SOCIETY,Publisher OR Author
12,ANNALS OF EMERGENCY MEDICINE,Yes,Yes,ELSEVIER,Publisher Only
12,APPLIED PHYSICS LETTERS,Yes,Yes,AMERICAN INSTITUTE OF PHYSICS,Publisher Only
12,ASTROPHYSICAL JOURNAL,No Specific Information,Yes,UNIVERSITY OF CHICAGO PRESS,Author Only
12,ATMOSPHERIC ENVIRONMENT,Yes,Yes,ELSEVIER,Publisher Only
12,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,Yes,Yes,ELSEVIER,Publisher Only
12,BIOCHEMISTRY,Yes,Yes,AMERICAN CHEMICAL SOCIETY,Publisher OR Author
12,BIOLOGICAL PSYCHIATRY,Yes,Yes,ELSEVIER,Publisher Only
12,BIOPHYSICAL JOURNAL,Yes,Yes,CELL PRESS,Publisher Only
12,BRAIN RESEARCH,Yes,Yes,ELSEVIER,Publisher Only
12,CANCER,Yes,Yes,WILEY,Publisher Only
12,"CANCER EPIDEMIOLOGY, BIOMARKERS & PREVENTION",No,Yes,AMERICAN ASSOCIATION OF CANCER RESEARCH,Publisher OR Author
12,CANCER RESEARCH,No,Yes,AMERICAN ASSOCIATION OF CANCER RESEARCH,Publisher OR Author
12,CHEST,Yes,Yes,AMERICAN COLLEGE OF CHEST PHYSICIANS,Publisher Only
12,CIRCULATION,No Specific Information,Yes,WOLTERS KLUWER HEALTH / LIPPINCOTT,Publisher Only
No Specific Information,CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,No Specific Information,No Specific Policy,TECH SCIENCE PRESS,No Specific Information
6,DEVELOPMENT,Yes,Yes,THE COMPANY OF BIOLOGISTS LTD,Publisher Only
12,DEVELOPMENTAL BIOLOGY,Yes,Yes,ELSEVIER,Publisher Only
12,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Yes,Yes,AMERICAN CHEMICAL SOCIETY,Publisher OR Author
12,EPILEPSIA,Yes,Yes,WILEY-BLACKWELL,Publisher Only
12,EUROPEAN JOURNAL OF NEUROSCIENCE,Yes,Yes,WILEY-BLACKWELL,Publisher Only
12,EXPERIMENTAL NEUROLOGY,Yes,Yes,ELSEVIER,Publisher Only
12,FASEB JOURNAL,Yes,Yes,FEDERATION OF AMERICAN SOCIETIES FOR EXPERIMENTAL BIOLOGISTS,Publisher Only
6,GENETICS,No,Yes,GENETICS SOCIETY OF AMERICA,Publisher Only
No Specific Information,GEOPHYSICAL RESEARCH LETTERS,Yes,No Specific Policy,AMERICAN GEOPHYSICAL UNION,No Specific Information
No Specific Information,GLOBAL BIOGEOCHEMICAL CYCLES,Yes,No Specific Policy,AMERICAN GEOPHYSICAL UNION,No Specific Information
12,GLOBAL CHANGE BIOLOGY,Yes,Yes,WILEY-BLACKWELL,Publisher Only
12,GYNECOLOGIC ONCOLOGY,Yes,Yes,ELSEVIER,Publisher Only
12,IEEE TRANSACTIONS ON NUCLEAR SCIENCE,No,Yes,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,Author Only
12,INTEGRATIVE AND COMPARATIVE BIOLOGY,Yes,Yes,OXFORD UNIVERSITY PRESS INC,Publisher Only
12,INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,Yes,Yes,CAMBRIDGE UNIVERSITY PRESS,Author Only
