Basin countries,Lake,Location,Residence time
Switzerland,Klingnauer Stausee,Aargau,000000.0000.13 days
Hungary,Lake H?v?z,H?v?z,000000.00328 hours
Switzerland,Stausee Ferden,"Ferden, Valais",000000.00436 hours
Switzerland,Lake Wohlen / Wohlensee,Canton of Berne,000000.0062.1 days
"Canada, United States",Lake St. Clair,Great Lakes,000000.0197 days (2-30 days)
New Zealand,Lake Arapuni,North Island,000000.0191 week
United States,Milton Pond,"Strafford County, New Hampshire; York County, Maine",000000.03011.1 days
United States,Gibson Lake,"Gibson Generating Station, Montgomery Township, Indiana",000000.0382 weeks
Sweden,R?cksta Tr?sk,,000000.0482-3 weeks
Japan,Lake Sagami,Kanagawa,000000.0500.05 year
Switzerland,Lake Cristallina,Ticino,000000.0582-4 weeks
United States,Northeast Pond,"Strafford County, New Hampshire; York County, Maine",000000.06523.7 days
United States,Brandy Pond,"Naples, Maine",000000.09334 days
New Zealand,Champagne Pool,"Waiotapu, North Island",000000.09334 days
Australia,Prospect reservoir,"Prospect, New South Wales",000000.09730-40 days
Sweden,Sicklasj?n,,000000.1000.1 year
United States,Devils Lake,"Lincoln County, Oregon",000000.1500.15 years
Ireland,Lough Derg,,000000.1500.15 years
United Kingdom,Derwent Water,Lake District,000000.15155 days
Switzerland,Lake Biel / Bielersee / Lac de Bienne,Canton of Berne,000000.15958 days
Netherlands,Veluwemeer,,000000.1672 months
Sweden,Hacksj?n,,000000.2000.2 years
Canada,Kamloops Lake,British Columbia,000000.200ca. 0.2 years (20-340 days)
United Kingdom,Malham Tarn,"Yorkshire Dales, England",000000.21211 weeks
France,Lac d'Anterne,"Passy, Haute-Savoie",000000.24790 days
United States,Graham Lake,"Hancock County, Maine",000000.2503 months
France,Grand Lac de Clairvaux,"Jura department, Franche-Comt?",000000.2503 months
Sweden,Laduviken,,000000.2503 months
United Kingdom,Esthwaite Water,"Lake District, Cumbria",000000.2600.26 years
Sweden,Treh?rningen,"Huddinge, Southern Stockholm County",000000.2700.27 years
France,Lac de Divonne,"Divonne-les-Bains, Ain",000000.274100 days
Italy,Lake Lesina / Lago di Lesina,"Province of Foggia, Puglia",000000.274100 days
Switzerland,Seeweidsee,Canton of Zurich,000000.274100 days
Switzerland,H?ttnersee,"H?tten, Canton of Zurich",000000.329120 days
