?,Area,Feet,Grid Ref,Met,Name,No.,Trips
8,S Fells,3209,NY215072,978,Scafell Pike,1,123456
6,S Fells,3163,NY206064,964,Sca Fell,2,1234
4,E Fells,3117,NY342151,950,Helvellyn,3,1
3,N Fells,3054,NY260290,931,Skiddaw,4,1
9,S Fells,2986,NY226083,910,Great End,5,1234567
6,S Fells,2959,NY244064,902,Bow Fell,6,1234
5,W Fells,2949,NY211103,899,Great Gable,7,123
9,W Fells,2927,NY171121,892,Pillar,8,1234
4,E Fells,2923,NY343142,891,Nethermost Pike,9,1
2,E Fells,2920,NY348158,890,Catstye Cam,10,-
8,S Fells,2904,NY236075,885,Esk Pike,11,12345
5,E Fells,2897,NY342174,883,Raise,12,12
4,E Fells,2864,NY358117,873,Fairfield,13,1
4,N Fells,2848,NY323277,868,Blencathra,14,12
3,N Fells,2838,NY266277,865,Skiddaw Little Man,15,1
4,E Fells,2831,NY337166,863,White Side,16,1
5,S Fells,2818,NY248048,859,Crinkle Crags,17,1234
4,E Fells,2815,NY346130,858,Dollywaggon Pike,18,1
5,E Fells,2812,NY341205,857,Great Dodd,19,12
4,NW Fells,2795,NY174203,852,Grasmoor,20,12
5,E Fells,2766,NY343189,843,Stybarrow Dodd,21,12
3,E Fells,2759,NY369134,841,St Sunday Crag,22,1
9,W Fells,2759,NY159113,841,Scoat Fell,23,123456
5,NW Fells,2753,NY192203,839,Crag Hill (Eel Crag),24,12
11,Far E Fells,2717,NY440110,828,High Street,25,1234567
4,W Fells,2710,NY165106,826,Red Pike (Wasdale),26,12
5,E Fells,2697,NY368112,822,Hart Crag,27,12
3,W Fells,2687,NY157116,819,Steeple,28,1
3,S Fells,2648,NY209081,807,Lingmell,29,12
5,W Fells,2648,NY170148,807,High Stile,30,123
6,S Fells,2635,SD272978,803,The Old Man of Coniston,31,1234
6,Far E Fells,2631,NY448134,802,High Raise (Far E Fells),32,1234
5,S Fells,2631,NY272005,802,Swirl How,33,1234
4,W Fells,2631,NY194104,802,Kirk Fell,34,12
4,W Fells,2628,NY214107,801,Green Gable,35,12
8,W Fells,2615,NY144107,797,Haycock,36,123456
5,S Fells,2612,SD270985,796,Brim Fell,37,1234
5,E Fells,2598,NY374104,792,Dove Crag,38,12
6,Far E Fells,2598,NY442128,792,Rampsgill Head,39,1234
4,NW Fells,2595,NY198225,791,Grisedale Pike,40,12
4,E Fells,2589,NY335195,789,Watson's Dodd,41,1
4,S Fells,2575,NY270008,785,Great Carrs,42,123
12,S Fells,2575,NY236085,785,Allen Crags,43,123456789
7,Far E Fells,2572,NY431100,784,Thornthwaite Crag,44,1234
9,S Fells,2569,NY246104,783,Glaramara,45,123456
4,Far E Fells,2559,NY447125,780,Kidsty Pike,46,123
3,S Fells,2552,SD262977,778,Dow Crag,47,1
7,Far E Fells,2552,NY459093,778,Harter Fell (Far E Fells),48,1234
3,E Fells,2546,NY396087,776,Red Screes,49,1
3,S Fells,2536,NY259003,773,Grey Friar,50,12
3,NW Fells,2536,NY198202,773,Sail,51,12
3,NW Fells,2533,NY188197,772,Wandope,52,1
5,NW Fells,2526,NY185221,770,Hopegill Head,53,1
2,E Fells,2513,NY355103,766,Great Rigg,54,-
4,Far E Fells,2503,NY417100,763,Stony Cove Pike (Caudale Moor),55,12
4,S Fells,2503,NY288011,763,Wetherlam,56,123
2,S Fells,2500,NY210050,762,Slight Side,57,1
8,C Fells,2500,NY280095,762,High Raise (C Fells),58,1234567
5,Far E Fells,2493,NY448101,760,Mardale Ill Bell,59,1233
3,Far E Fells,2484,NY436077,757,Ill Bell,60,12
3,E Fells,2480,NY359197,756,Hart Side,61,-
5,W Fells,2477,NY160154,755,Red Pike (Buttermere),62,123
8,NW Fells,2470,NY223153,753,Dale Head,63,123456
2,N Fells,2448,NY255280,746,Carl Side,64,1
5,W Fells,2441,NY180140,744,High Crag,65,123
2,Far E Fells,2425,NY437127,739,The Knott,66,1
6,NW Fells,2418,NY201168,737,Robinson,67,1234
4,C Fells,2415,NY286089,736,Sergeant Man,68,123
4,C Fells,2415,NY281074,736,Harrison Stickle,69,123
2,E Fells,2415,NY343115,736,Seat Sandal,70,1
2,N Fells,2408,NY248284,734,Long Side,71,1
5,Far E Fells,2395,NY465077,730,Kentmere Pike,72,123
6,NW Fells,2385,NY215165,727,Hindscarth,73,1234
5,E Fells,2382,NY333225,726,Clough Head,74,12
3,C Fells,2382,NY291121,726,Ullscarf,75,1
10,C Fells,2372,NY279079,723,Thunacar Knott,76,123456789
5,Far E Fells,2362,NY435085,720,Froswick,77,123
1,E Fells,2356,NY363159,718,Birkhouse Moor,78,-
2,N Fells,2346,NY285271,715,Lonscale Fell,79,1
5,W Fells,2346,NY214119,715,Brandreth,80,1234
6,Far E Fells,2339,NY477100,713,Branstree,81,12
4,N Fells,2329,NY296329,710,Knott,82,1
1,C Fells,2326,NY273073,709,Pike of Stickle,83,-
3,NW Fells,2320,NY170219,707,Whiteside,84,-
4,Far E Fells,2316,NY437067,706,Yoke,85,123
4,S Fells,2313,NY271042,705,Pike of Blisco,86,123
3,N Fells,2303,NY333305,702,Bowscale Fell,87,12
4,S Fells,2300,NY262035,701,Cold Pike,88,123
5,C Fells,2297,NY284079,700,Pavey Ark,89,123
3,Far E Fells,2293,NY427117,699,Gray Crag,90,-
4,W Fells,2287,NY217125,697,Grey Knotts,91,123
7,W Fells,2287,NY131109,697,Caw Fell,92,1234
2,Far E Fells,2283,NY432137,696,Rest Dodd,93,1
4,W Fells,2270,NY139084,692,Seatallan,94,12
2,N Fells,2264,NY244288,690,Ullock Pike,95,1
3,N Fells,2264,NY290311,690,Great Calva,96,1
3,N Fells,2241,NY335290,683,Bannerdale Crags,97,12
1,C Fells,2231,NY277071,680,Loft Crag,98,-
2,E Fells,2215,NY369181,675,Sheffield Pike,99,-
1,N Fells,2208,NY266307,673,Bakestall,100,-
3,NW Fells,2205,NY208206,672,Scar Crags,101,12
2,Far E Fells,2201,NY456181,671,Loadpot Hill,102,-
2,Far E Fells,2198,NY455167,670,Wether Hill,103,-
4,Far E Fells,2178,NY488078,664,Tarn Crag,104,12
3,N Fells,2175,NY341336,663,Carrock Fell,105,1
3,NW Fells,2165,NY180189,660,Whiteless Pike,106,-
3,N Fells,2159,NY318350,658,High Pike (N Fells),107,1
5,Far E Fells,2156,NY405169,657,Place Fell,108,12
1,E Fells,2152,NY374088,656,High Pike (Scandale),109,-
6,Far E Fells,2149,NY490111,655,Selside Pike,110,12
6,S Fells,2146,SD218997,654,Harter Fell (S Fells),111,12345
1,E Fells,2146,NY397096,654,Middle Dodd,112,-
6,NW Fells,2142,NY234162,653,High Spy,113,123
1,N Fells,2136,NY291339,651,Great Sca Fell,114,-
4,S Fells,2136,NY249075,651,Rossett Pike,115,123
5,W Fells,2126,NY205141,648,Fleetwith Pike,116,123
2,W Fells,2119,NY225114,646,Base Brown,117,1
4,Far E Fells,2093,NY497072,638,Grey Crag,118,12
3,NW Fells,2090,NY218208,637,Causey Pike,119,12
3,E Fells,2090,NY387100,637,Little Hart Crag,120,1
4,W Fells,2077,NY141157,633,Starling Dodd,121,12
1,N Fells,2077,NY311293,633,Mungrisdale Common,122,-
3,W Fells,2057,NY173084,627,Yewbarrow,123,1
3,E Fells,2041,NY380143,622,Birks,124,1
2,Far E Fells,2028,NY411118,618,Hartsop Dodd,125,-
5,W Fells,2021,NY123163,616,Great Borne,126,12
2,E Fells,2008,NY356083,612,Heron Pike,127,-
6,S Fells,1998,NY169049,609,Illgill Head,128,12345
1,C Fells,1995,NY287180,608,High Seat,129,-
1,S Fells,1972,NY229102,601,Seathwaite Fell (Wainwright top),130,-
6,W Fells,1959,NY194132,597,Haystacks,131,1234
1,C Fells,1936,NY286195,590,Bleaberry Fell,132,-
3,Far E Fells,1926,NY473062,587,Shipman Knotts,133,12
1,N Fells,1923,NY289351,586,Brae Fell,134,-
3,W Fells,1909,NY151072,582,Middle Fell,135,12
3,NW Fells,1906,NY207198,581,Ard Crags,136,12
